date,KHC,isPartial
2016-09-11,6,False
2016-09-12,22,False
2016-09-13,14,False
2016-09-14,29,False
2016-09-15,34,False
2016-09-16,10,False
2016-09-17,14,False
2016-09-18,16,False
2016-09-19,14,False
2016-09-20,26,False
2016-09-21,17,False
2016-09-22,19,False
2016-09-23,20,False
2016-09-24,14,False
2016-09-25,16,False
2016-09-26,16,False
2016-09-27,16,False
2016-09-28,17,False
2016-09-29,12,False
2016-09-30,7,False
2016-10-01,8,False
2016-10-02,10,False
2016-10-03,21,False
2016-10-04,23,False
2016-10-05,21,False
2016-10-06,12,False
2016-10-07,29,False
2016-10-08,21,False
2016-10-09,5,False
2016-10-10,12,False
2016-10-11,21,False
2016-10-12,22,False
2016-10-13,14,False
2016-10-14,25,False
2016-10-15,16,False
2016-10-16,5,False
2016-10-17,30,False
2016-10-18,18,False
2016-10-19,19,False
2016-10-20,21,False
2016-10-21,27,False
2016-10-22,8,False
2016-10-23,3,False
2016-10-24,23,False
2016-10-25,16,False
2016-10-26,12,False
2016-10-27,12,False
2016-10-28,17,False
2016-10-29,14,False
2016-10-30,11,False
2016-10-31,14,False
2016-11-01,10,False
2016-11-02,12,False
2016-11-03,30,False
2016-11-04,31,False
2016-11-05,11,False
2016-11-06,5,False
2016-11-07,32,False
2016-11-08,23,False
2016-11-09,23,False
2016-11-10,23,False
2016-11-11,10,False
2016-11-12,8,False
2016-11-13,16,False
2016-11-14,21,False
2016-11-15,30,False
2016-11-16,14,False
2016-11-17,44,False
2016-11-18,14,False
2016-11-19,16,False
2016-11-20,18,False
2016-11-21,25,False
2016-11-22,16,False
2016-11-23,18,False
2016-11-24,17,False
2016-11-25,17,False
2016-11-26,5,False
2016-11-27,13,False
2016-11-28,13,False
2016-11-29,13,False
2016-11-30,13,False
2016-12-01,22,False
2016-12-02,12,False
2016-12-03,10,False
2016-12-04,7,False
2016-12-05,28,False
2016-12-06,24,False
2016-12-07,33,False
2016-12-08,18,False
2016-12-09,9,False
2016-12-10,21,False
2016-12-11,20,False
2016-12-12,19,False
2016-12-13,20,False
2016-12-14,18,False
2016-12-15,41,False
2016-12-16,45,False
2016-12-17,13,False
2016-12-18,13,False
2016-12-19,21,False
2016-12-20,9,False
2016-12-21,12,False
2016-12-22,24,False
2016-12-23,12,False
2016-12-24,8,False
2016-12-25,15,False
2016-12-26,15,False
2016-12-27,14,False
2016-12-28,17,False
2016-12-29,12,False
2016-12-30,20,False
2016-12-31,16,False
2017-01-01,14,False
2017-01-02,16,False
2017-01-03,25,False
2017-01-04,7,False
2017-01-05,14,False
2017-01-06,23,False
2017-01-07,15,False
2017-01-08,7,False
2017-01-09,13,False
2017-01-10,13,False
2017-01-11,26,False
2017-01-12,31,False
2017-01-13,20,False
2017-01-14,15,False
2017-01-15,7,False
2017-01-16,2,False
2017-01-17,30,False
2017-01-18,17,False
2017-01-19,13,False
2017-01-20,40,False
2017-01-21,10,False
2017-01-22,7,False
2017-01-23,25,False
2017-01-24,32,False
2017-01-25,4,False
2017-01-26,34,False
2017-01-27,16,False
2017-01-28,15,False
2017-01-29,7,False
2017-01-30,21,False
2017-01-31,11,False
2017-02-01,21,False
2017-02-02,26,False
2017-02-03,27,False
2017-02-04,12,False
2017-02-05,10,False
2017-02-06,15,False
2017-02-07,25,False
2017-02-08,28,False
2017-02-09,24,False
2017-02-10,18,False
2017-02-11,12,False
2017-02-12,17,False
2017-02-13,17,False
2017-02-14,28,False
2017-02-15,41,False
2017-02-16,32,False
2017-02-17,100,False
2017-02-18,44,False
2017-02-19,36,False
2017-02-20,45,False
2017-02-21,85,False
2017-02-22,38,False
2017-02-23,28,False
2017-02-24,26,False
2017-02-25,7,False
2017-02-26,10,False
2017-02-27,21,False
2017-02-28,19,False
2017-03-01,20,False
2017-03-02,27,False
2017-03-03,24,False
2017-03-04,12,False
2017-03-05,7,False
2017-03-06,10,False
2017-03-07,26,False
2017-03-08,21,False
2017-03-09,21,False
2017-03-10,17,False
2017-03-11,29,False
2017-03-12,14,False
2017-03-13,18,False
2017-03-14,11,False
2017-03-15,11,False
2017-03-16,28,False
2017-03-17,29,False
2017-03-18,19,False
2017-03-19,14,False
2017-03-20,32,False
2017-03-21,19,False
2017-03-22,25,False
2017-03-23,26,False
2017-03-24,26,False
2017-03-25,17,False
2017-03-26,15,False
2017-03-27,11,False
2017-03-28,17,False
2017-03-29,15,False
2017-03-30,31,False
2017-03-31,13,False
2017-04-01,15,False
2017-04-02,20,False
2017-04-03,23,False
2017-04-04,10,False
2017-04-05,13,False
2017-04-06,21,False
2017-04-07,22,False
2017-04-08,17,False
2017-04-09,10,False
2017-04-10,21,False
2017-04-11,15,False
2017-04-12,24,False
2017-04-13,18,False
2017-04-14,19,False
2017-04-15,8,False
2017-04-16,15,False
2017-04-17,20,False
2017-04-18,27,False
2017-04-19,17,False
2017-04-20,21,False
2017-04-21,18,False
2017-04-22,25,False
2017-04-23,9,False
2017-04-24,19,False
2017-04-25,8,False
2017-04-26,29,False
2017-04-27,13,False
2017-04-28,15,False
2017-04-29,10,False
2017-04-30,5,False
2017-05-01,18,False
2017-05-02,11,False
2017-05-03,21,False
2017-05-04,26,False
2017-05-05,31,False
2017-05-06,30,False
2017-05-07,12,False
2017-05-08,19,False
2017-05-09,13,False
2017-05-10,13,False
2017-05-11,30,False
2017-05-12,20,False
2017-05-13,12,False
2017-05-14,10,False
2017-05-15,20,False
2017-05-16,21,False
2017-05-17,18,False
2017-05-18,20,False
2017-05-19,17,False
2017-05-20,16,False
2017-05-21,19,False
2017-05-22,18,False
2017-05-23,18,False
2017-05-24,16,False
2017-05-25,16,False
2017-05-26,29,False
2017-05-27,30,False
2017-05-28,3,False
2017-05-29,9,False
