date,INTC,isPartial
2016-05-04,28,False
2016-05-05,31,False
2016-05-06,19,False
2016-05-07,8,False
2016-05-08,4,False
2016-05-09,22,False
2016-05-10,26,False
2016-05-11,21,False
2016-05-12,18,False
2016-05-13,26,False
2016-05-14,8,False
2016-05-15,6,False
2016-05-16,19,False
2016-05-17,20,False
2016-05-18,18,False
2016-05-19,23,False
2016-05-20,23,False
2016-05-21,9,False
2016-05-22,5,False
2016-05-23,20,False
2016-05-24,19,False
2016-05-25,28,False
2016-05-26,25,False
2016-05-27,24,False
2016-05-28,8,False
2016-05-29,10,False
2016-05-30,7,False
2016-05-31,19,False
2016-06-01,20,False
2016-06-02,21,False
2016-06-03,20,False
2016-06-04,4,False
2016-06-05,5,False
2016-06-06,18,False
2016-06-07,22,False
2016-06-08,23,False
2016-06-09,21,False
2016-06-10,27,False
2016-06-11,9,False
2016-06-12,6,False
2016-06-13,30,False
2016-06-14,16,False
2016-06-15,16,False
2016-06-16,20,False
2016-06-17,13,False
2016-06-18,4,False
2016-06-19,6,False
2016-06-20,17,False
2016-06-21,21,False
2016-06-22,19,False
2016-06-23,24,False
2016-06-24,52,False
2016-06-25,16,False
2016-06-26,3,False
2016-06-27,30,False
2016-06-28,28,False
2016-06-29,29,False
2016-06-30,28,False
2016-07-01,33,False
2016-07-02,8,False
2016-07-03,5,False
2016-07-04,8,False
2016-07-05,25,False
2016-07-06,23,False
2016-07-07,31,False
2016-07-08,42,False
2016-07-09,14,False
2016-07-10,6,False
2016-07-11,34,False
2016-07-12,42,False
2016-07-13,55,False
2016-07-14,50,False
2016-07-15,39,False
2016-07-16,12,False
2016-07-17,8,False
2016-07-18,32,False
2016-07-19,37,False
2016-07-20,100,False
2016-07-21,82,False
2016-07-22,42,False
2016-07-23,14,False
2016-07-24,9,False
2016-07-25,33,False
2016-07-26,28,False
2016-07-27,31,False
2016-07-28,33,False
2016-07-29,22,False
2016-07-30,9,False
2016-07-31,10,False
2016-08-01,23,False
