date,REGN
2013-02-19,20
2013-02-20,32
2013-02-21,26
2013-02-22,26
2013-02-23,26
2013-02-24,34
2013-02-25,35
2013-02-26,41
2013-02-27,42
2013-02-28,25
2013-03-01,20
2013-03-02,22
2013-03-03,24
2013-03-04,39
2013-03-05,39
2013-03-06,33
2013-03-07,31
2013-03-08,32
2013-03-09,19
2013-03-10,31
2013-03-11,26
2013-03-12,33
2013-03-13,35
2013-03-14,38
2013-03-15,32
2013-03-16,26
2013-03-17,32
2013-03-18,39
2013-03-19,39
2013-03-20,31
2013-03-21,33
2013-03-22,32
2013-03-23,24
2013-03-24,22
2013-03-25,26
2013-03-26,28
2013-03-27,32
2013-03-28,23
2013-03-29,32
2013-03-30,18
2013-03-31,28
2013-04-01,27
2013-04-02,26
2013-04-03,31
2013-04-04,39
2013-04-05,41
2013-04-06,26
2013-04-07,31
2013-04-08,34
2013-04-09,46
2013-04-10,43
2013-04-11,53
2013-04-12,42
2013-04-13,32
2013-04-14,47
2013-04-15,43
2013-04-16,44
2013-04-17,36
2013-04-18,63
2013-04-19,46
2013-04-20,31
2013-04-21,31
2013-04-22,54
2013-04-23,35
2013-04-24,47
2013-04-25,46
2013-04-26,50
2013-04-27,29
2013-04-28,41
2013-04-29,44
2013-04-30,35
2013-05-01,73
2013-05-02,49
2013-05-03,74
2013-05-04,37
2013-05-05,43
2013-05-06,48
2013-05-07,55
2013-05-08,57
2013-05-09,70
2013-05-10,47
2013-05-11,47
2013-05-12,33
2013-05-13,52
2013-05-14,66
2013-05-15,55
2013-05-16,53
2013-05-17,44
2013-05-18,39
2013-05-19,55
2013-05-20,58
2013-05-21,95
2013-05-22,86
2013-05-23,67
2013-05-24,44
2013-05-25,38
2013-05-26,67
2013-05-27,41
2013-05-28,59
2013-05-29,52
2013-05-30,57
2013-05-31,54
2013-06-01,67
2013-06-02,61
2013-06-03,54
2013-06-04,52
2013-06-05,43
2013-06-06,45
2013-06-07,54
2013-06-08,32
2013-06-09,60
2013-06-10,51
2013-06-11,48
2013-06-12,60
2013-06-13,100
2013-06-14,72
2013-06-15,64
2013-06-16,56
2013-06-17,39
2013-06-18,63
2013-06-19,63
2013-06-20,76
2013-06-21,62
2013-06-22,50
2013-06-23,39
2013-06-24,64
2013-06-25,66
2013-06-26,79
2013-06-27,56
2013-06-28,49
2013-06-29,65
2013-06-30,39
2013-07-01,50
2013-07-02,45
2013-07-03,40
2013-07-04,31
2013-07-05,24
2013-07-06,23
2013-07-07,20
2013-07-08,36
2013-07-09,42
2013-07-10,58
2013-07-11,34
2013-07-12,36
2013-07-13,25
2013-07-14,20
2013-07-15,38
2013-07-16,31
2013-07-17,38
2013-07-18,41
2013-07-19,34
2013-07-20,30
2013-07-21,30
2013-07-22,24
2013-07-23,39
2013-07-24,50
2013-07-25,45
2013-07-26,63
2013-07-27,58
2013-07-28,54
2013-07-29,56
2013-07-30,95
2013-07-31,74
2013-08-01,55
2013-08-02,41
2013-08-03,60
2013-08-04,39
2013-08-05,47
2013-08-06,74
2013-08-07,51
2013-08-08,99
2013-08-09,46
2013-08-10,58
2013-08-11,68
2013-08-12,64
2013-08-13,68
2013-08-14,60
2013-08-15,52
2013-08-16,47
2013-08-17,55
2013-08-18,40
2013-08-19,42
2013-08-20,36
2013-08-21,40
2013-08-22,28
2013-08-23,26
2013-08-24,28
2013-08-25,24
2013-08-26,43
2013-08-27,41
2013-08-28,35
2013-08-29,42
2013-08-30,48
2013-08-31,48
2013-09-01,45
2013-09-02,55
2013-09-03,40
2013-09-04,58
2013-09-05,40
2013-09-06,42
2013-09-07,25
2013-09-08,19
2013-09-09,58
2013-09-10,53
2013-09-11,54
2013-09-12,47
2013-09-13,50
2013-09-14,39
2013-09-15,65
2013-09-16,93
2013-09-17,78
2013-09-18,87
2013-09-19,64
2013-09-20,54
2013-09-21,35
2013-09-22,54
2013-09-23,45
2013-09-24,46
2013-09-25,50
2013-09-26,54
2013-09-27,42
2013-09-28,31
2013-09-29,37
2013-09-30,61
2013-10-01,53
2013-10-02,46
2013-10-03,46
2013-10-04,48
2013-10-05,29
2013-10-06,29
2013-10-07,57
2013-10-08,43
2013-10-09,68
2013-10-10,57
2013-10-11,45
2013-10-12,26
2013-10-13,27
2013-10-14,53
2013-10-15,42
2013-10-16,42
2013-10-17,59
2013-10-18,54
2013-10-19,33
2013-10-20,37
2013-10-21,57
2013-10-22,55
2013-10-23,62
2013-10-24,53
2013-10-25,42
2013-10-26,35
2013-10-27,47
2013-10-28,61
2013-10-29,56
2013-10-30,50
2013-10-31,49
2013-11-01,44
2013-11-02,27
2013-11-03,39
2013-11-04,42
2013-11-05,74
2013-11-06,56
