date,NTAP
2013-06-29,7
2013-06-30,10
2013-07-01,22
2013-07-02,8
2013-07-03,19
2013-07-04,16
2013-07-05,12
2013-07-06,25
2013-07-07,11
2013-07-08,32
2013-07-09,26
2013-07-10,19
2013-07-11,38
2013-07-12,32
2013-07-13,10
2013-07-14,14
2013-07-15,45
2013-07-16,21
2013-07-17,28
2013-07-18,40
2013-07-19,51
2013-07-20,21
2013-07-21,7
2013-07-22,17
2013-07-23,22
2013-07-24,34
2013-07-25,40
2013-07-26,36
2013-07-27,9
2013-07-28,10
2013-07-29,31
2013-07-30,28
2013-07-31,21
2013-08-01,17
2013-08-02,30
2013-08-03,17
2013-08-04,14
2013-08-05,23
2013-08-06,36
2013-08-07,29
2013-08-08,23
2013-08-09,36
2013-08-10,10
2013-08-11,17
2013-08-12,36
2013-08-13,39
2013-08-14,100
2013-08-15,76
2013-08-16,42
2013-08-17,14
2013-08-18,20
2013-08-19,35
2013-08-20,22
2013-08-21,19
2013-08-22,39
2013-08-23,31
2013-08-24,13
2013-08-25,9
2013-08-26,27
2013-08-27,30
2013-08-28,29
2013-08-29,33
2013-08-30,30
2013-08-31,20
2013-09-01,13
2013-09-02,13
2013-09-03,20
2013-09-04,27
2013-09-05,25
2013-09-06,17
2013-09-07,16
2013-09-08,13
2013-09-09,23
2013-09-10,26
2013-09-11,30
2013-09-12,31
2013-09-13,20
2013-09-14,8
2013-09-15,12
2013-09-16,23
2013-09-17,24
2013-09-18,32
2013-09-19,23
2013-09-20,33
2013-09-21,13
2013-09-22,6
2013-09-23,23
2013-09-24,27
2013-09-25,30
2013-09-26,18
2013-09-27,24
2013-09-28,17
2013-09-29,12
2013-09-30,12
2013-10-01,10
2013-10-02,24
2013-10-03,34
2013-10-04,16
2013-10-05,9
2013-10-06,9
2013-10-07,21
2013-10-08,9
2013-10-09,21
2013-10-10,29
2013-10-11,17
2013-10-12,0
2013-10-13,19
2013-10-14,11
2013-10-15,19
2013-10-16,19
2013-10-17,25
2013-10-18,26
2013-10-19,13
2013-10-20,8
2013-10-21,29
2013-10-22,22
2013-10-23,22
2013-10-24,26
2013-10-25,24
2013-10-26,10
2013-10-27,6
2013-10-28,12
2013-10-29,19
2013-10-30,14
2013-10-31,14
2013-11-01,23
2013-11-02,9
2013-11-03,6
2013-11-04,28
2013-11-05,27
2013-11-06,24
2013-11-07,22
2013-11-08,14
2013-11-09,6
2013-11-10,9
2013-11-11,15
2013-11-12,20
2013-11-13,69
2013-11-14,66
2013-11-15,38
2013-11-16,12
2013-11-17,16
2013-11-18,24
2013-11-19,22
2013-11-20,17
2013-11-21,26
2013-11-22,16
2013-11-23,10
2013-11-24,8
2013-11-25,15
2013-11-26,15
2013-11-27,14
2013-11-28,11
2013-11-29,16
2013-11-30,14
2013-12-01,6
2013-12-02,26
2013-12-03,22
2013-12-04,17
2013-12-05,34
2013-12-06,30
2013-12-07,12
2013-12-08,12
2013-12-09,20
2013-12-10,19
2013-12-11,21
2013-12-12,39
2013-12-13,27
2013-12-14,6
2013-12-15,6
2013-12-16,26
2013-12-17,8
2013-12-18,28
2013-12-19,20
2013-12-20,21
2013-12-21,13
2013-12-22,6
2013-12-23,29
2013-12-24,17
2013-12-25,16
2013-12-26,12
2013-12-27,13
2013-12-28,13
2013-12-29,9
2013-12-30,26
2013-12-31,19
2014-01-01,9
2014-01-02,20
2014-01-03,21
2014-01-04,12
2014-01-05,6
2014-01-06,24
2014-01-07,20
2014-01-08,20
2014-01-09,12
2014-01-10,19
2014-01-11,6
2014-01-12,12
2014-01-13,23
2014-01-14,18
2014-01-15,38
2014-01-16,41
2014-01-17,31
2014-01-18,12
2014-01-19,6
2014-01-20,18
2014-01-21,40
2014-01-22,44
2014-01-23,37
2014-01-24,34
2014-01-25,15
2014-01-26,0
2014-01-27,34
2014-01-28,24
2014-01-29,19
2014-01-30,23
2014-01-31,22
2014-02-01,10
2014-02-02,6
2014-02-03,27
2014-02-04,19
2014-02-05,18
2014-02-06,33
2014-02-07,14
2014-02-08,8
2014-02-09,11
2014-02-10,30
2014-02-11,26
2014-02-12,56
2014-02-13,57
2014-02-14,22
2014-02-15,15
2014-02-16,9
2014-02-17,11
2014-02-18,28
2014-02-19,21
2014-02-20,23
2014-02-21,25
2014-02-22,8
2014-02-23,6
2014-02-24,21
2014-02-25,13
2014-02-26,18
2014-02-27,15
2014-02-28,14
2014-03-01,6
2014-03-02,9
2014-03-03,16
2014-03-04,25
2014-03-05,16
2014-03-06,21
2014-03-07,54
2014-03-08,23
2014-03-09,11
2014-03-10,20
2014-03-11,18
2014-03-12,52
2014-03-13,33
2014-03-14,14
2014-03-15,9
2014-03-16,6
