date,NVDA
2013-02-19,73
2013-02-20,76
2013-02-21,59
2013-02-22,44
2013-02-23,34
2013-02-24,20
2013-02-25,32
2013-02-26,55
2013-02-27,55
2013-02-28,69
2013-03-01,37
2013-03-02,31
2013-03-03,23
2013-03-04,60
2013-03-05,54
2013-03-06,49
2013-03-07,61
2013-03-08,56
2013-03-09,20
2013-03-10,14
2013-03-11,56
2013-03-12,65
2013-03-13,47
2013-03-14,39
2013-03-15,43
2013-03-16,20
2013-03-17,25
2013-03-18,54
2013-03-19,45
2013-03-20,50
2013-03-21,32
2013-03-22,56
2013-03-23,38
2013-03-24,23
2013-03-25,44
2013-03-26,37
2013-03-27,42
2013-03-28,49
2013-03-29,38
2013-03-30,19
2013-03-31,21
2013-04-01,48
2013-04-02,49
2013-04-03,27
2013-04-04,40
2013-04-05,47
2013-04-06,36
2013-04-07,21
2013-04-08,33
2013-04-09,30
2013-04-10,53
2013-04-11,49
2013-04-12,63
2013-04-13,22
2013-04-14,41
2013-04-15,45
2013-04-16,44
2013-04-17,41
2013-04-18,46
2013-04-19,48
2013-04-20,25
2013-04-21,20
2013-04-22,56
2013-04-23,35
2013-04-24,64
2013-04-25,52
2013-04-26,47
2013-04-27,37
2013-04-28,18
2013-04-29,47
2013-04-30,49
2013-05-01,53
2013-05-02,57
2013-05-03,50
2013-05-04,15
2013-05-05,26
2013-05-06,44
2013-05-07,49
2013-05-08,42
2013-05-09,81
2013-05-10,100
2013-05-11,39
2013-05-12,24
2013-05-13,68
2013-05-14,78
2013-05-15,61
2013-05-16,70
2013-05-17,57
2013-05-18,44
2013-05-19,25
2013-05-20,61
2013-05-21,67
2013-05-22,62
2013-05-23,80
2013-05-24,61
2013-05-25,16
2013-05-26,26
2013-05-27,26
2013-05-28,70
2013-05-29,60
2013-05-30,57
2013-05-31,54
2013-06-01,38
2013-06-02,34
2013-06-03,48
2013-06-04,45
2013-06-05,38
2013-06-06,46
2013-06-07,43
2013-06-08,26
2013-06-09,27
2013-06-10,44
2013-06-11,52
2013-06-12,40
2013-06-13,37
2013-06-14,50
2013-06-15,22
2013-06-16,13
2013-06-17,46
2013-06-18,42
2013-06-19,68
2013-06-20,75
2013-06-21,40
2013-06-22,19
2013-06-23,18
2013-06-24,39
2013-06-25,69
2013-06-26,47
2013-06-27,56
2013-06-28,48
2013-06-29,19
2013-06-30,19
2013-07-01,52
2013-07-02,34
2013-07-03,37
2013-07-04,24
2013-07-05,42
2013-07-06,19
2013-07-07,25
2013-07-08,37
2013-07-09,37
2013-07-10,55
2013-07-11,50
2013-07-12,26
2013-07-13,4
2013-07-14,21
2013-07-15,37
2013-07-16,29
2013-07-17,44
2013-07-18,33
2013-07-19,28
2013-07-20,28
2013-07-21,23
2013-07-22,35
2013-07-23,60
2013-07-24,45
2013-07-25,45
2013-07-26,33
2013-07-27,21
2013-07-28,17
2013-07-29,26
2013-07-30,46
2013-07-31,39
2013-08-01,50
2013-08-02,37
2013-08-03,19
2013-08-04,17
2013-08-05,33
2013-08-06,46
2013-08-07,44
2013-08-08,48
2013-08-09,63
2013-08-10,26
2013-08-11,22
2013-08-12,37
2013-08-13,38
2013-08-14,48
2013-08-15,70
2013-08-16,56
2013-08-17,22
2013-08-18,31
2013-08-19,48
2013-08-20,70
2013-08-21,56
2013-08-22,55
2013-08-23,36
2013-08-24,29
2013-08-25,18
2013-08-26,41
2013-08-27,50
2013-08-28,40
2013-08-29,43
2013-08-30,44
2013-08-31,34
2013-09-01,12
2013-09-02,26
2013-09-03,42
2013-09-04,60
2013-09-05,53
2013-09-06,42
2013-09-07,21
2013-09-08,26
2013-09-09,45
2013-09-10,68
2013-09-11,50
2013-09-12,73
2013-09-13,51
2013-09-14,26
2013-09-15,25
2013-09-16,59
2013-09-17,47
2013-09-18,76
2013-09-19,61
2013-09-20,73
2013-09-21,24
2013-09-22,24
2013-09-23,61
2013-09-24,43
2013-09-25,42
2013-09-26,50
2013-09-27,43
2013-09-28,19
2013-09-29,19
2013-09-30,54
2013-10-01,67
2013-10-02,50
2013-10-03,48
2013-10-04,47
2013-10-05,39
2013-10-06,22
2013-10-07,44
2013-10-08,60
2013-10-09,52
2013-10-10,44
2013-10-11,38
2013-10-12,36
2013-10-13,33
2013-10-14,38
2013-10-15,49
2013-10-16,55
2013-10-17,51
2013-10-18,66
2013-10-19,31
2013-10-20,25
2013-10-21,45
2013-10-22,59
2013-10-23,38
2013-10-24,43
2013-10-25,33
2013-10-26,20
2013-10-27,17
2013-10-28,33
2013-10-29,49
2013-10-30,47
2013-10-31,45
2013-11-01,45
2013-11-02,14
2013-11-03,31
2013-11-04,51
2013-11-05,29
2013-11-06,33
