date,NVDA
2016-09-11,5
2016-09-12,14
2016-09-13,21
2016-09-14,16
2016-09-15,16
2016-09-16,13
2016-09-17,7
2016-09-18,4
2016-09-19,17
2016-09-20,15
2016-09-21,20
2016-09-22,17
2016-09-23,14
2016-09-24,6
2016-09-25,5
2016-09-26,13
2016-09-27,20
2016-09-28,19
2016-09-29,19
2016-09-30,20
2016-10-01,9
2016-10-02,7
2016-10-03,20
2016-10-04,17
2016-10-05,19
2016-10-06,19
2016-10-07,17
2016-10-08,8
2016-10-09,7
2016-10-10,16
2016-10-11,15
2016-10-12,16
2016-10-13,17
2016-10-14,15
2016-10-15,6
2016-10-16,3
2016-10-17,15
2016-10-18,17
2016-10-19,17
2016-10-20,19
2016-10-21,17
2016-10-22,9
2016-10-23,5
2016-10-24,23
2016-10-25,21
2016-10-26,24
2016-10-27,19
2016-10-28,19
2016-10-29,7
2016-10-30,6
2016-10-31,16
2016-11-01,19
2016-11-02,18
2016-11-03,16
2016-11-04,17
2016-11-05,7
2016-11-06,6
2016-11-07,21
2016-11-08,16
2016-11-09,25
2016-11-10,48
2016-11-11,96
2016-11-12,31
2016-11-13,16
2016-11-14,38
2016-11-15,30
2016-11-16,42
2016-11-17,40
2016-11-18,35
2016-11-19,13
2016-11-20,9
2016-11-21,28
2016-11-22,29
2016-11-23,21
2016-11-24,13
2016-11-25,15
2016-11-26,8
2016-11-27,7
2016-11-28,21
2016-11-29,22
2016-11-30,23
2016-12-01,34
2016-12-02,30
2016-12-03,9
2016-12-04,7
2016-12-05,21
2016-12-06,27
2016-12-07,27
2016-12-08,25
2016-12-09,22
2016-12-10,9
2016-12-11,7
2016-12-12,25
2016-12-13,26
2016-12-14,32
2016-12-15,37
2016-12-16,38
2016-12-17,14
2016-12-18,9
2016-12-19,28
2016-12-20,43
2016-12-21,37
2016-12-22,41
2016-12-23,32
2016-12-24,21
2016-12-25,10
2016-12-26,17
2016-12-27,52
2016-12-28,76
2016-12-29,72
2016-12-30,57
2016-12-31,19
2017-01-01,10
2017-01-02,20
2017-01-03,50
2017-01-04,49
2017-01-05,62
2017-01-06,49
2017-01-07,19
2017-01-08,13
2017-01-09,43
2017-01-10,43
2017-01-11,40
2017-01-12,34
2017-01-13,36
2017-01-14,12
2017-01-15,8
2017-01-16,18
2017-01-17,32
2017-01-18,32
2017-01-19,34
2017-01-20,35
2017-01-21,13
2017-01-22,10
2017-01-23,28
2017-01-24,30
2017-01-25,36
2017-01-26,34
2017-01-27,30
2017-01-28,17
2017-01-29,9
2017-01-30,27
2017-01-31,31
2017-02-01,36
2017-02-02,38
2017-02-03,35
2017-02-04,14
2017-02-05,9
2017-02-06,33
2017-02-07,46
2017-02-08,48
2017-02-09,100
2017-02-10,97
2017-02-11,22
2017-02-12,16
2017-02-13,53
2017-02-14,46
2017-02-15,39
2017-02-16,40
2017-02-17,36
2017-02-18,12
2017-02-19,8
2017-02-20,14
2017-02-21,32
2017-02-22,43
2017-02-23,80
2017-02-24,73
2017-02-25,21
2017-02-26,13
2017-02-27,40
2017-02-28,41
2017-03-01,47
2017-03-02,44
2017-03-03,42
2017-03-04,14
2017-03-05,10
2017-03-06,43
2017-03-07,42
2017-03-08,40
2017-03-09,32
2017-03-10,34
2017-03-11,14
2017-03-12,10
2017-03-13,35
2017-03-14,33
2017-03-15,29
2017-03-16,35
2017-03-17,37
2017-03-18,14
2017-03-19,11
2017-03-20,37
2017-03-21,41
2017-03-22,35
2017-03-23,35
2017-03-24,30
2017-03-25,12
2017-03-26,8
2017-03-27,32
2017-03-28,29
2017-03-29,27
2017-03-30,32
2017-03-31,28
2017-04-01,10
