date,NVDA
2013-06-29,17
2013-06-30,13
2013-07-01,57
2013-07-02,42
2013-07-03,26
2013-07-04,21
2013-07-05,29
2013-07-06,17
2013-07-07,21
2013-07-08,33
2013-07-09,37
2013-07-10,41
2013-07-11,48
2013-07-12,38
2013-07-13,17
2013-07-14,16
2013-07-15,47
2013-07-16,35
2013-07-17,33
2013-07-18,32
2013-07-19,44
2013-07-20,26
2013-07-21,16
2013-07-22,35
2013-07-23,35
2013-07-24,43
2013-07-25,40
2013-07-26,31
2013-07-27,13
2013-07-28,35
2013-07-29,27
2013-07-30,40
2013-07-31,33
2013-08-01,36
2013-08-02,36
2013-08-03,20
2013-08-04,13
2013-08-05,31
2013-08-06,41
2013-08-07,40
2013-08-08,57
2013-08-09,56
2013-08-10,19
2013-08-11,17
2013-08-12,28
2013-08-13,33
2013-08-14,46
2013-08-15,58
2013-08-16,45
2013-08-17,22
2013-08-18,16
2013-08-19,44
2013-08-20,46
2013-08-21,47
2013-08-22,42
2013-08-23,42
2013-08-24,28
2013-08-25,17
2013-08-26,43
2013-08-27,55
2013-08-28,49
2013-08-29,34
2013-08-30,37
2013-08-31,23
2013-09-01,11
2013-09-02,30
2013-09-03,40
2013-09-04,48
2013-09-05,51
2013-09-06,36
2013-09-07,23
2013-09-08,15
2013-09-09,35
2013-09-10,48
2013-09-11,50
2013-09-12,49
2013-09-13,47
2013-09-14,22
2013-09-15,16
2013-09-16,35
2013-09-17,41
2013-09-18,50
2013-09-19,54
2013-09-20,60
2013-09-21,17
2013-09-22,19
2013-09-23,47
2013-09-24,49
2013-09-25,45
2013-09-26,53
2013-09-27,39
2013-09-28,27
2013-09-29,15
2013-09-30,40
2013-10-01,49
2013-10-02,34
2013-10-03,43
2013-10-04,38
2013-10-05,26
2013-10-06,17
2013-10-07,46
2013-10-08,37
2013-10-09,34
2013-10-10,53
2013-10-11,34
2013-10-12,34
2013-10-13,16
2013-10-14,30
2013-10-15,53
2013-10-16,42
2013-10-17,42
2013-10-18,58
2013-10-19,24
2013-10-20,22
2013-10-21,44
2013-10-22,41
2013-10-23,32
2013-10-24,34
2013-10-25,39
2013-10-26,20
2013-10-27,14
2013-10-28,41
2013-10-29,44
2013-10-30,35
2013-10-31,35
2013-11-01,35
2013-11-02,13
2013-11-03,24
2013-11-04,42
2013-11-05,31
2013-11-06,34
2013-11-07,52
2013-11-08,63
2013-11-09,41
2013-11-10,25
2013-11-11,49
2013-11-12,41
2013-11-13,43
2013-11-14,57
2013-11-15,46
2013-11-16,31
2013-11-17,25
2013-11-18,54
2013-11-19,46
2013-11-20,62
2013-11-21,42
2013-11-22,50
2013-11-23,21
2013-11-24,21
2013-11-25,30
2013-11-26,38
2013-11-27,24
2013-11-28,24
2013-11-29,37
2013-11-30,21
2013-12-01,18
2013-12-02,33
2013-12-03,42
2013-12-04,36
2013-12-05,33
2013-12-06,43
2013-12-07,26
2013-12-08,13
2013-12-09,34
2013-12-10,39
2013-12-11,22
2013-12-12,35
2013-12-13,39
2013-12-14,19
2013-12-15,16
2013-12-16,40
2013-12-17,27
2013-12-18,44
2013-12-19,27
2013-12-20,39
2013-12-21,19
2013-12-22,20
2013-12-23,32
2013-12-24,31
2013-12-25,18
2013-12-26,30
2013-12-27,30
2013-12-28,25
2013-12-29,17
2013-12-30,35
2013-12-31,27
2014-01-01,17
2014-01-02,38
2014-01-03,33
2014-01-04,26
2014-01-05,26
2014-01-06,65
2014-01-07,57
2014-01-08,57
2014-01-09,46
2014-01-10,46
2014-01-11,20
2014-01-12,25
2014-01-13,33
2014-01-14,42
2014-01-15,40
2014-01-16,40
2014-01-17,46
2014-01-18,28
2014-01-19,26
2014-01-20,39
2014-01-21,46
2014-01-22,35
2014-01-23,39
2014-01-24,27
2014-01-25,23
2014-01-26,23
2014-01-27,35
2014-01-28,34
2014-01-29,44
2014-01-30,36
2014-01-31,35
2014-02-01,27
2014-02-02,24
2014-02-03,29
2014-02-04,42
2014-02-05,33
2014-02-06,41
2014-02-07,29
2014-02-08,24
2014-02-09,19
2014-02-10,40
2014-02-11,46
2014-02-12,77
2014-02-13,100
2014-02-14,73
2014-02-15,32
2014-02-16,23
2014-02-17,44
2014-02-18,60
2014-02-19,63
2014-02-20,77
2014-02-21,68
2014-02-22,31
2014-02-23,26
2014-02-24,59
2014-02-25,80
2014-02-26,61
2014-02-27,65
2014-02-28,47
2014-03-01,22
2014-03-02,18
2014-03-03,65
2014-03-04,58
2014-03-05,47
2014-03-06,48
2014-03-07,43
2014-03-08,28
2014-03-09,24
2014-03-10,49
2014-03-11,48
2014-03-12,37
2014-03-13,61
2014-03-14,62
2014-03-15,25
2014-03-16,21
