date,NVDA
2011-01-01,14
2011-01-02,18
2011-01-03,38
2011-01-04,39
2011-01-05,39
2011-01-06,81
2011-01-07,89
2011-01-08,36
2011-01-09,19
2011-01-10,67
2011-01-11,100
2011-01-12,82
2011-01-13,64
2011-01-14,52
2011-01-15,33
2011-01-16,23
2011-01-17,26
2011-01-18,48
2011-01-19,51
2011-01-20,43
2011-01-21,37
2011-01-22,20
2011-01-23,12
2011-01-24,64
2011-01-25,69
2011-01-26,49
2011-01-27,47
2011-01-28,40
2011-01-29,19
2011-01-30,15
2011-01-31,32
2011-02-01,39
2011-02-02,60
2011-02-03,43
2011-02-04,43
2011-02-05,23
2011-02-06,15
2011-02-07,43
2011-02-08,43
2011-02-09,43
2011-02-10,33
2011-02-11,44
2011-02-12,18
2011-02-13,16
2011-02-14,40
2011-02-15,43
2011-02-16,86
2011-02-17,82
2011-02-18,48
2011-02-19,22
2011-02-20,21
2011-02-21,26
2011-02-22,50
2011-02-23,33
2011-02-24,39
2011-02-25,51
2011-02-26,15
2011-02-27,16
2011-02-28,32
2011-03-01,52
2011-03-02,43
2011-03-03,37
2011-03-04,25
2011-03-05,17
2011-03-06,12
2011-03-07,32
2011-03-08,45
2011-03-09,50
2011-03-10,51
2011-03-11,46
2011-03-12,20
2011-03-13,14
2011-03-14,37
2011-03-15,37
2011-03-16,39
2011-03-17,43
2011-03-18,40
2011-03-19,27
2011-03-20,20
2011-03-21,36
2011-03-22,33
2011-03-23,35
2011-03-24,45
2011-03-25,42
2011-03-26,21
2011-03-27,24
2011-03-28,49
2011-03-29,42
2011-03-30,49
2011-03-31,38
2011-04-01,35
2011-04-02,8
2011-04-03,14
2011-04-04,32
2011-04-05,41
2011-04-06,33
2011-04-07,43
2011-04-08,25
2011-04-09,18
2011-04-10,10
2011-04-11,33
2011-04-12,40
2011-04-13,37
2011-04-14,26
2011-04-15,35
2011-04-16,10
2011-04-17,10
2011-04-18,36
2011-04-19,29
2011-04-20,39
2011-04-21,38
2011-04-22,22
2011-04-23,22
2011-04-24,12
2011-04-25,40
2011-04-26,30
2011-04-27,39
2011-04-28,37
2011-04-29,40
2011-04-30,18
2011-05-01,11
2011-05-02,26
2011-05-03,33
2011-05-04,35
2011-05-05,36
2011-05-06,41
2011-05-07,12
2011-05-08,17
2011-05-09,48
2011-05-10,32
2011-05-11,45
2011-05-12,57
2011-05-13,58
2011-05-14,28
2011-05-15,14
2011-05-16,37
2011-05-17,33
2011-05-18,41
2011-05-19,34
2011-05-20,31
2011-05-21,13
2011-05-22,12
2011-05-23,27
2011-05-24,39
2011-05-25,15
2011-05-26,28
2011-05-27,34
2011-05-28,12
2011-05-29,10
2011-05-30,27
2011-05-31,36
2011-06-01,40
2011-06-02,33
2011-06-03,36
2011-06-04,20
2011-06-05,14
2011-06-06,33
2011-06-07,32
2011-06-08,34
2011-06-09,27
2011-06-10,30
2011-06-11,12
2011-06-12,10
2011-06-13,28
2011-06-14,26
2011-06-15,29
2011-06-16,24
2011-06-17,35
2011-06-18,13
2011-06-19,13
2011-06-20,24
2011-06-21,26
2011-06-22,27
2011-06-23,32
2011-06-24,25
2011-06-25,9
2011-06-26,9
2011-06-27,35
2011-06-28,28
2011-06-29,30
2011-06-30,22
2011-07-01,26
2011-07-02,12
2011-07-03,13
2011-07-04,14
2011-07-05,26
2011-07-06,19
2011-07-07,24
2011-07-08,33
2011-07-09,18
2011-07-10,11
2011-07-11,26
2011-07-12,30
2011-07-13,30
2011-07-14,33
2011-07-15,25
2011-07-16,18
2011-07-17,14
2011-07-18,31
2011-07-19,30
2011-07-20,30
2011-07-21,29
2011-07-22,27
2011-07-23,10
2011-07-24,18
2011-07-25,30
2011-07-26,26
2011-07-27,27
2011-07-28,24
2011-07-29,26
2011-07-30,11
2011-07-31,14
2011-08-01,30
2011-08-02,37
2011-08-03,31
2011-08-04,28
2011-08-05,37
2011-08-06,17
2011-08-07,15
2011-08-08,45
2011-08-09,48
2011-08-10,40
2011-08-11,63
2011-08-12,76
2011-08-13,21
2011-08-14,14
2011-08-15,37
2011-08-16,36
2011-08-17,24
2011-08-18,29
2011-08-19,38
2011-08-20,15
2011-08-21,12
2011-08-22,31
2011-08-23,50
2011-08-24,32
2011-08-25,30
2011-08-26,25
2011-08-27,21
2011-08-28,10
2011-08-29,27
2011-08-30,30
2011-08-31,29
2011-09-01,27
2011-09-02,21
2011-09-03,14
2011-09-04,15
2011-09-05,18
2011-09-06,32
2011-09-07,37
2011-09-08,26
2011-09-09,24
2011-09-10,15
2011-09-11,12
2011-09-12,29
2011-09-13,35
2011-09-14,51
2011-09-15,36
2011-09-16,42
2011-09-17,17
2011-09-18,10
