date,NVDA
2016-05-04,10
2016-05-05,9
2016-05-06,8
2016-05-07,8
2016-05-08,4
2016-05-09,11
2016-05-10,12
2016-05-11,12
2016-05-12,24
2016-05-13,42
2016-05-14,17
2016-05-15,10
2016-05-16,23
2016-05-17,21
2016-05-18,19
2016-05-19,16
2016-05-20,18
2016-05-21,5
2016-05-22,8
2016-05-23,20
2016-05-24,16
2016-05-25,17
2016-05-26,19
2016-05-27,12
2016-05-28,5
2016-05-29,9
2016-05-30,8
2016-05-31,13
2016-06-01,19
2016-06-02,17
2016-06-03,14
2016-06-04,8
2016-06-05,5
2016-06-06,16
2016-06-07,15
2016-06-08,15
2016-06-09,12
2016-06-10,13
2016-06-11,5
2016-06-12,3
2016-06-13,14
2016-06-14,15
2016-06-15,13
2016-06-16,12
2016-06-17,13
2016-06-18,5
2016-06-19,3
2016-06-20,13
2016-06-21,13
2016-06-22,15
2016-06-23,12
2016-06-24,22
2016-06-25,6
2016-06-26,6
2016-06-27,14
2016-06-28,16
2016-06-29,11
2016-06-30,15
2016-07-01,12
2016-07-02,7
2016-07-03,6
2016-07-04,7
2016-07-05,12
2016-07-06,16
2016-07-07,17
2016-07-08,19
2016-07-09,10
2016-07-10,6
2016-07-11,19
2016-07-12,17
2016-07-13,18
2016-07-14,21
2016-07-15,17
2016-07-16,5
2016-07-17,7
2016-07-18,16
2016-07-19,18
2016-07-20,15
2016-07-21,16
2016-07-22,23
2016-07-23,7
2016-07-24,6
2016-07-25,17
2016-07-26,20
2016-07-27,21
2016-07-28,20
2016-07-29,18
2016-07-30,10
2016-07-31,8
2016-08-01,18
2016-08-02,15
2016-08-03,17
2016-08-04,27
2016-08-05,18
2016-08-06,8
2016-08-07,7
2016-08-08,19
2016-08-09,19
2016-08-10,25
2016-08-11,48
2016-08-12,55
2016-08-13,16
2016-08-14,9
2016-08-15,31
2016-08-16,25
2016-08-17,27
2016-08-18,21
2016-08-19,21
2016-08-20,10
2016-08-21,8
2016-08-22,23
2016-08-23,23
2016-08-24,22
2016-08-25,18
2016-08-26,19
2016-08-27,7
2016-08-28,8
2016-08-29,21
2016-08-30,22
2016-08-31,20
2016-09-01,18
2016-09-02,19
2016-09-03,8
2016-09-04,5
2016-09-05,7
2016-09-06,16
2016-09-07,17
2016-09-08,18
2016-09-09,20
2016-09-10,10
2016-09-11,5
2016-09-12,18
2016-09-13,24
2016-09-14,23
2016-09-15,19
2016-09-16,17
2016-09-17,9
2016-09-18,4
2016-09-19,21
2016-09-20,18
2016-09-21,24
2016-09-22,19
2016-09-23,17
2016-09-24,9
2016-09-25,8
2016-09-26,16
2016-09-27,20
2016-09-28,21
2016-09-29,21
2016-09-30,23
2016-10-01,8
2016-10-02,8
2016-10-03,20
2016-10-04,18
2016-10-05,23
2016-10-06,25
2016-10-07,16
2016-10-08,6
2016-10-09,7
2016-10-10,17
2016-10-11,15
2016-10-12,19
2016-10-13,17
2016-10-14,18
2016-10-15,6
2016-10-16,4
2016-10-17,19
2016-10-18,18
2016-10-19,17
2016-10-20,24
2016-10-21,20
2016-10-22,8
2016-10-23,6
2016-10-24,25
2016-10-25,27
2016-10-26,23
2016-10-27,18
2016-10-28,23
2016-10-29,7
2016-10-30,6
2016-10-31,18
2016-11-01,22
2016-11-02,19
2016-11-03,20
2016-11-04,20
2016-11-05,8
2016-11-06,7
2016-11-07,23
2016-11-08,17
2016-11-09,30
2016-11-10,51
2016-11-11,100
2016-11-12,35
2016-11-13,15
2016-11-14,45
2016-11-15,37
2016-11-16,46
2016-11-17,47
2016-11-18,38
2016-11-19,14
2016-11-20,11
2016-11-21,33
2016-11-22,28
2016-11-23,24
2016-11-24,15
2016-11-25,16
2016-11-26,9
2016-11-27,6
2016-11-28,25
2016-11-29,23
2016-11-30,25
2016-12-01,41
2016-12-02,31
2016-12-03,11
2016-12-04,8
2016-12-05,27
2016-12-06,30
2016-12-07,30
2016-12-08,28
2016-12-09,23
2016-12-10,11
2016-12-11,9
2016-12-12,31
2016-12-13,31
2016-12-14,41
2016-12-15,41
2016-12-16,41
2016-12-17,19
2016-12-18,10
2016-12-19,35
2016-12-20,47
2016-12-21,46
2016-12-22,46
2016-12-23,38
2016-12-24,21
2016-12-25,14
2016-12-26,19
2016-12-27,57
2016-12-28,84
2016-12-29,87
2016-12-30,64
2016-12-31,21
2017-01-01,13
2017-01-02,19
2017-01-03,51
2017-01-04,56
2017-01-05,73
2017-01-06,55
2017-01-07,20
2017-01-08,13
2017-01-09,47
2017-01-10,50
2017-01-11,47
2017-01-12,40
2017-01-13,39
2017-01-14,12
2017-01-15,10
2017-01-16,20
2017-01-17,35
2017-01-18,36
2017-01-19,35
