date,NVDA
2016-08-02,14
2016-08-03,15
2016-08-04,19
2016-08-05,15
2016-08-06,8
2016-08-07,6
2016-08-08,17
2016-08-09,20
2016-08-10,23
2016-08-11,43
2016-08-12,53
2016-08-13,16
2016-08-14,7
2016-08-15,25
2016-08-16,24
2016-08-17,21
2016-08-18,18
2016-08-19,19
2016-08-20,8
2016-08-21,6
2016-08-22,20
2016-08-23,17
2016-08-24,19
2016-08-25,14
2016-08-26,12
2016-08-27,6
2016-08-28,6
2016-08-29,17
2016-08-30,17
2016-08-31,15
2016-09-01,18
2016-09-02,18
2016-09-03,6
2016-09-04,7
2016-09-05,7
2016-09-06,14
2016-09-07,16
2016-09-08,14
2016-09-09,17
2016-09-10,7
2016-09-11,4
2016-09-12,19
2016-09-13,19
2016-09-14,15
2016-09-15,16
2016-09-16,14
2016-09-17,9
2016-09-18,4
2016-09-19,15
2016-09-20,17
2016-09-21,19
2016-09-22,19
2016-09-23,11
2016-09-24,6
2016-09-25,6
2016-09-26,13
2016-09-27,19
2016-09-28,19
2016-09-29,19
2016-09-30,19
2016-10-01,8
2016-10-02,6
2016-10-03,16
2016-10-04,14
2016-10-05,21
2016-10-06,19
2016-10-07,14
2016-10-08,5
2016-10-09,5
2016-10-10,15
2016-10-11,16
2016-10-12,17
2016-10-13,17
2016-10-14,13
2016-10-15,5
2016-10-16,5
2016-10-17,15
2016-10-18,17
2016-10-19,16
2016-10-20,20
2016-10-21,17
2016-10-22,8
2016-10-23,5
2016-10-24,19
2016-10-25,24
2016-10-26,20
2016-10-27,18
2016-10-28,15
2016-10-29,6
2016-10-30,4
2016-10-31,16
2016-11-01,17
2016-11-02,19
2016-11-03,14
2016-11-04,17
2016-11-05,6
2016-11-06,6
2016-11-07,17
2016-11-08,16
2016-11-09,28
2016-11-10,43
2016-11-11,83
2016-11-12,31
2016-11-13,14
2016-11-14,38
2016-11-15,29
2016-11-16,38
2016-11-17,41
2016-11-18,32
2016-11-19,10
2016-11-20,10
2016-11-21,26
2016-11-22,26
2016-11-23,19
2016-11-24,14
2016-11-25,16
2016-11-26,9
2016-11-27,7
2016-11-28,18
2016-11-29,19
2016-11-30,22
2016-12-01,34
2016-12-02,27
2016-12-03,10
2016-12-04,4
2016-12-05,25
2016-12-06,26
2016-12-07,25
2016-12-08,24
2016-12-09,22
2016-12-10,8
2016-12-11,7
2016-12-12,24
2016-12-13,26
2016-12-14,27
2016-12-15,38
2016-12-16,37
2016-12-17,12
2016-12-18,9
2016-12-19,32
2016-12-20,40
2016-12-21,39
2016-12-22,41
2016-12-23,36
2016-12-24,17
2016-12-25,13
2016-12-26,16
2016-12-27,50
2016-12-28,77
2016-12-29,81
2016-12-30,57
2016-12-31,19
2017-01-01,10
2017-01-02,19
2017-01-03,49
2017-01-04,49
2017-01-05,64
2017-01-06,51
2017-01-07,19
2017-01-08,11
2017-01-09,43
2017-01-10,43
2017-01-11,40
2017-01-12,41
2017-01-13,35
2017-01-14,14
2017-01-15,12
2017-01-16,17
2017-01-17,28
2017-01-18,30
2017-01-19,34
2017-01-20,36
2017-01-21,13
2017-01-22,9
2017-01-23,25
2017-01-24,31
2017-01-25,34
2017-01-26,32
2017-01-27,35
2017-01-28,14
2017-01-29,9
2017-01-30,28
2017-01-31,27
2017-02-01,36
2017-02-02,36
2017-02-03,33
2017-02-04,11
2017-02-05,8
2017-02-06,35
2017-02-07,47
2017-02-08,44
2017-02-09,96
2017-02-10,100
2017-02-11,21
2017-02-12,16
2017-02-13,53
2017-02-14,47
2017-02-15,39
2017-02-16,38
2017-02-17,37
2017-02-18,9
2017-02-19,8
2017-02-20,17
2017-02-21,33
2017-02-22,41
2017-02-23,84
2017-02-24,66
2017-02-25,19
2017-02-26,11
2017-02-27,38
2017-02-28,37
2017-03-01,47
2017-03-02,41
2017-03-03,44
2017-03-04,13
2017-03-05,10
2017-03-06,37
2017-03-07,37
2017-03-08,42
2017-03-09,31
2017-03-10,34
2017-03-11,13
2017-03-12,8
2017-03-13,29
2017-03-14,29
2017-03-15,27
2017-03-16,34
2017-03-17,34
2017-03-18,15
2017-03-19,11
2017-03-20,36
2017-03-21,37
2017-03-22,37
2017-03-23,31
2017-03-24,30
2017-03-25,12
2017-03-26,8
2017-03-27,31
2017-03-28,34
2017-03-29,26
2017-03-30,31
2017-03-31,27
2017-04-01,10
2017-04-02,8
2017-04-03,22
2017-04-04,52
2017-04-05,45
2017-04-06,38
2017-04-07,31
2017-04-08,8
2017-04-09,8
2017-04-10,29
2017-04-11,36
2017-04-12,27
2017-04-13,35
2017-04-14,18
2017-04-15,6
2017-04-16,8
2017-04-17,30
2017-04-18,27
