date,NVDA
2012-10-12,52
2012-10-13,26
2012-10-14,30
2012-10-15,52
2012-10-16,51
2012-10-17,47
2012-10-18,47
2012-10-19,39
2012-10-20,24
2012-10-21,18
2012-10-22,47
2012-10-23,40
2012-10-24,45
2012-10-25,47
2012-10-26,40
2012-10-27,29
2012-10-28,20
2012-10-29,38
2012-10-30,40
2012-10-31,39
2012-11-01,42
2012-11-02,56
2012-11-03,24
2012-11-04,22
2012-11-05,47
2012-11-06,46
2012-11-07,48
2012-11-08,86
2012-11-09,72
2012-11-10,34
2012-11-11,30
2012-11-12,47
2012-11-13,55
2012-11-14,55
2012-11-15,49
2012-11-16,69
2012-11-17,23
2012-11-18,28
2012-11-19,51
2012-11-20,32
2012-11-21,40
2012-11-22,31
2012-11-23,33
2012-11-24,31
2012-11-25,29
2012-11-26,58
2012-11-27,49
2012-11-28,52
2012-11-29,49
2012-11-30,48
2012-12-01,19
2012-12-02,21
2012-12-03,51
2012-12-04,44
2012-12-05,44
2012-12-06,39
2012-12-07,46
2012-12-08,29
2012-12-09,25
2012-12-10,50
2012-12-11,44
2012-12-12,43
2012-12-13,40
2012-12-14,52
2012-12-15,22
2012-12-16,18
2012-12-17,37
2012-12-18,45
2012-12-19,51
2012-12-20,56
2012-12-21,38
2012-12-22,16
2012-12-23,30
2012-12-24,21
2012-12-25,20
2012-12-26,33
2012-12-27,45
2012-12-28,38
2012-12-29,17
2012-12-30,18
2012-12-31,41
2013-01-01,21
2013-01-02,50
2013-01-03,34
2013-01-04,48
2013-01-05,19
2013-01-06,23
2013-01-07,75
2013-01-08,66
2013-01-09,51
2013-01-10,57
2013-01-11,37
2013-01-12,34
2013-01-13,20
2013-01-14,44
2013-01-15,37
2013-01-16,44
2013-01-17,47
2013-01-18,43
2013-01-19,23
2013-01-20,23
2013-01-21,30
2013-01-22,35
2013-01-23,47
2013-01-24,44
2013-01-25,50
2013-01-26,31
2013-01-27,22
2013-01-28,50
2013-01-29,43
2013-01-30,43
2013-01-31,37
2013-02-01,35
2013-02-02,28
2013-02-03,20
2013-02-04,36
2013-02-05,59
2013-02-06,40
2013-02-07,49
2013-02-08,44
2013-02-09,26
2013-02-10,28
2013-02-11,53
2013-02-12,43
2013-02-13,64
2013-02-14,68
2013-02-15,57
2013-02-16,27
2013-02-17,22
2013-02-18,27
2013-02-19,56
2013-02-20,55
2013-02-21,48
2013-02-22,36
2013-02-23,37
2013-02-24,28
2013-02-25,52
2013-02-26,42
2013-02-27,38
2013-02-28,56
2013-03-01,40
2013-03-02,21
2013-03-03,16
2013-03-04,45
2013-03-05,54
2013-03-06,51
2013-03-07,50
2013-03-08,47
2013-03-09,16
2013-03-10,19
2013-03-11,50
2013-03-12,50
2013-03-13,38
2013-03-14,43
2013-03-15,29
2013-03-16,24
2013-03-17,17
2013-03-18,40
2013-03-19,50
2013-03-20,44
2013-03-21,32
2013-03-22,37
2013-03-23,20
2013-03-24,21
2013-03-25,42
2013-03-26,48
2013-03-27,46
2013-03-28,43
2013-03-29,43
2013-03-30,19
2013-03-31,19
2013-04-01,37
2013-04-02,53
2013-04-03,31
2013-04-04,38
2013-04-05,44
2013-04-06,25
2013-04-07,13
2013-04-08,37
2013-04-09,37
2013-04-10,56
2013-04-11,44
2013-04-12,60
2013-04-13,24
2013-04-14,32
2013-04-15,51
2013-04-16,40
2013-04-17,50
2013-04-18,47
2013-04-19,47
2013-04-20,24
2013-04-21,20
2013-04-22,33
2013-04-23,41
2013-04-24,48
2013-04-25,53
2013-04-26,50
2013-04-27,25
2013-04-28,15
2013-04-29,47
2013-04-30,39
2013-05-01,48
2013-05-02,59
2013-05-03,44
2013-05-04,21
2013-05-05,11
2013-05-06,42
2013-05-07,42
2013-05-08,48
2013-05-09,75
2013-05-10,100
2013-05-11,20
2013-05-12,17
2013-05-13,58
2013-05-14,61
2013-05-15,63
2013-05-16,55
2013-05-17,51
2013-05-18,39
2013-05-19,27
2013-05-20,49
2013-05-21,51
2013-05-22,45
2013-05-23,58
2013-05-24,38
2013-05-25,21
2013-05-26,14
2013-05-27,35
2013-05-28,52
2013-05-29,45
2013-05-30,46
2013-05-31,50
2013-06-01,19
2013-06-02,19
2013-06-03,41
2013-06-04,42
2013-06-05,40
2013-06-06,45
2013-06-07,30
2013-06-08,26
2013-06-09,20
2013-06-10,37
2013-06-11,52
2013-06-12,39
2013-06-13,37
2013-06-14,43
2013-06-15,18
2013-06-16,8
2013-06-17,39
2013-06-18,47
2013-06-19,67
2013-06-20,64
2013-06-21,36
2013-06-22,18
2013-06-23,10
2013-06-24,42
2013-06-25,48
2013-06-26,37
2013-06-27,47
2013-06-28,42
2013-06-29,18
