date,NVDA
2013-11-06,27
2013-11-07,72
2013-11-08,64
2013-11-09,29
2013-11-10,18
2013-11-11,46
2013-11-12,53
2013-11-13,63
2013-11-14,59
2013-11-15,52
2013-11-16,26
2013-11-17,22
2013-11-18,49
2013-11-19,50
2013-11-20,56
2013-11-21,40
2013-11-22,45
2013-11-23,18
2013-11-24,12
2013-11-25,41
2013-11-26,53
2013-11-27,32
2013-11-28,26
2013-11-29,41
2013-11-30,26
2013-12-01,26
2013-12-02,48
2013-12-03,47
2013-12-04,38
2013-12-05,32
2013-12-06,37
2013-12-07,26
2013-12-08,15
2013-12-09,25
2013-12-10,32
2013-12-11,28
2013-12-12,38
2013-12-13,34
2013-12-14,21
2013-12-15,17
2013-12-16,35
2013-12-17,26
2013-12-18,43
2013-12-19,22
2013-12-20,38
2013-12-21,16
2013-12-22,13
2013-12-23,43
2013-12-24,34
2013-12-25,19
2013-12-26,32
2013-12-27,34
2013-12-28,17
2013-12-29,14
2013-12-30,37
2013-12-31,37
2014-01-01,20
2014-01-02,37
2014-01-03,29
2014-01-04,16
2014-01-05,23
2014-01-06,68
2014-01-07,53
2014-01-08,49
2014-01-09,56
2014-01-10,41
2014-01-11,19
2014-01-12,19
2014-01-13,30
2014-01-14,52
2014-01-15,41
2014-01-16,35
2014-01-17,45
2014-01-18,23
2014-01-19,27
2014-01-20,41
2014-01-21,45
2014-01-22,34
2014-01-23,43
2014-01-24,24
2014-01-25,22
2014-01-26,32
2014-01-27,44
2014-01-28,50
2014-01-29,40
2014-01-30,42
2014-01-31,37
2014-02-01,36
2014-02-02,17
2014-02-03,31
2014-02-04,46
2014-02-05,38
2014-02-06,41
2014-02-07,40
2014-02-08,31
2014-02-09,20
2014-02-10,37
2014-02-11,41
2014-02-12,75
2014-02-13,100
2014-02-14,83
2014-02-15,36
2014-02-16,35
2014-02-17,46
2014-02-18,69
2014-02-19,58
2014-02-20,65
2014-02-21,73
2014-02-22,29
2014-02-23,23
2014-02-24,76
2014-02-25,75
2014-02-26,75
2014-02-27,52
2014-02-28,56
2014-03-01,32
2014-03-02,15
2014-03-03,60
2014-03-04,66
2014-03-05,54
2014-03-06,59
2014-03-07,34
2014-03-08,29
2014-03-09,28
2014-03-10,54
2014-03-11,46
2014-03-12,46
2014-03-13,56
2014-03-14,47
2014-03-15,26
2014-03-16,21
2014-03-17,35
2014-03-18,42
2014-03-19,46
2014-03-20,43
2014-03-21,44
2014-03-22,21
2014-03-23,21
2014-03-24,39
2014-03-25,54
2014-03-26,37
2014-03-27,58
2014-03-28,56
2014-03-29,20
2014-03-30,14
2014-03-31,54
2014-04-01,68
2014-04-02,48
2014-04-03,55
2014-04-04,42
2014-04-05,23
2014-04-06,25
2014-04-07,49
2014-04-08,55
2014-04-09,41
2014-04-10,44
2014-04-11,28
2014-04-12,32
2014-04-13,17
2014-04-14,39
2014-04-15,31
2014-04-16,54
2014-04-17,30
2014-04-18,37
2014-04-19,18
2014-04-20,20
2014-04-21,51
2014-04-22,30
2014-04-23,38
2014-04-24,48
2014-04-25,45
2014-04-26,24
2014-04-27,24
2014-04-28,44
2014-04-29,31
2014-04-30,38
2014-05-01,38
2014-05-02,38
2014-05-03,15
2014-05-04,23
2014-05-05,38
2014-05-06,46
2014-05-07,61
2014-05-08,59
2014-05-09,57
2014-05-10,26
2014-05-11,25
2014-05-12,49
2014-05-13,49
2014-05-14,42
2014-05-15,49
2014-05-16,36
2014-05-17,22
2014-05-18,12
2014-05-19,38
2014-05-20,39
2014-05-21,38
2014-05-22,47
2014-05-23,29
2014-05-24,16
2014-05-25,23
2014-05-26,31
2014-05-27,47
2014-05-28,48
2014-05-29,44
2014-05-30,55
2014-05-31,20
2014-06-01,16
2014-06-02,37
2014-06-03,42
2014-06-04,38
2014-06-05,46
2014-06-06,28
2014-06-07,21
2014-06-08,27
2014-06-09,22
2014-06-10,51
2014-06-11,43
2014-06-12,35
2014-06-13,41
2014-06-14,23
2014-06-15,18
2014-06-16,38
2014-06-17,47
2014-06-18,56
2014-06-19,39
2014-06-20,34
2014-06-21,15
2014-06-22,25
2014-06-23,30
2014-06-24,46
2014-06-25,43
2014-06-26,34
2014-06-27,47
2014-06-28,25
2014-06-29,20
2014-06-30,52
2014-07-01,34
2014-07-02,23
2014-07-03,42
2014-07-04,13
2014-07-05,12
2014-07-06,10
2014-07-07,40
2014-07-08,41
2014-07-09,31
2014-07-10,27
2014-07-11,30
2014-07-12,21
2014-07-13,13
2014-07-14,32
2014-07-15,40
2014-07-16,48
2014-07-17,44
2014-07-18,36
2014-07-19,15
2014-07-20,20
2014-07-21,24
2014-07-22,37
2014-07-23,31
2014-07-24,40
