date,WBA
2015-12-26,18
2015-12-27,11
2015-12-28,25
2015-12-29,16
2015-12-30,15
2015-12-31,17
2016-01-01,15
2016-01-02,27
2016-01-03,14
2016-01-04,15
2016-01-05,14
2016-01-06,14
2016-01-07,16
2016-01-08,15
2016-01-09,24
2016-01-10,15
2016-01-11,17
2016-01-12,16
2016-01-13,38
2016-01-14,21
2016-01-15,19
2016-01-16,22
2016-01-17,18
2016-01-18,16
2016-01-19,28
2016-01-20,19
2016-01-21,14
2016-01-22,15
2016-01-23,31
2016-01-24,16
2016-01-25,14
2016-01-26,14
2016-01-27,15
2016-01-28,15
2016-01-29,19
2016-01-30,19
2016-01-31,17
2016-02-01,20
2016-02-02,27
2016-02-03,18
2016-02-04,14
2016-02-05,12
2016-02-06,22
2016-02-07,13
2016-02-08,12
2016-02-09,16
2016-02-10,36
2016-02-11,19
2016-02-12,16
2016-02-13,22
2016-02-14,12
2016-02-15,14
2016-02-16,12
2016-02-17,11
2016-02-18,12
2016-02-19,12
2016-02-20,21
2016-02-21,17
2016-02-22,13
2016-02-23,12
2016-02-24,13
2016-02-25,11
2016-02-26,11
2016-02-27,36
2016-02-28,17
2016-02-29,14
2016-03-01,45
2016-03-02,21
2016-03-03,15
2016-03-04,14
2016-03-05,22
2016-03-06,100
2016-03-07,26
2016-03-08,14
2016-03-09,14
2016-03-10,13
2016-03-11,12
2016-03-12,19
2016-03-13,17
2016-03-14,13
2016-03-15,12
2016-03-16,12
2016-03-17,13
2016-03-18,10
2016-03-19,18
2016-03-20,8
2016-03-21,12
2016-03-22,9
2016-03-23,12
2016-03-24,11
2016-03-25,9
2016-03-26,11
2016-03-27,11
2016-03-28,12
2016-03-29,10
2016-03-30,11
2016-03-31,12
2016-04-01,12
2016-04-02,15
2016-04-03,8
2016-04-04,11
2016-04-05,14
2016-04-06,9
2016-04-07,10
2016-04-08,14
2016-04-09,53
2016-04-10,20
2016-04-11,14
2016-04-12,11
2016-04-13,11
2016-04-14,9
2016-04-15,14
2016-04-16,20
2016-04-17,12
2016-04-18,10
2016-04-19,10
2016-04-20,12
2016-04-21,50
2016-04-22,20
2016-04-23,11
2016-04-24,14
2016-04-25,71
2016-04-26,27
2016-04-27,15
2016-04-28,16
2016-04-29,12
2016-04-30,24
2016-05-01,12
2016-05-02,13
2016-05-03,11
2016-05-04,9
2016-05-05,12
2016-05-06,14
2016-05-07,20
2016-05-08,14
2016-05-09,14
2016-05-10,12
2016-05-11,13
2016-05-12,12
2016-05-13,14
2016-05-14,15
2016-05-15,39
2016-05-16,16
2016-05-17,13
2016-05-18,11
2016-05-19,11
2016-05-20,16
2016-05-21,18
2016-05-22,13
2016-05-23,14
2016-05-24,13
2016-05-25,10
2016-05-26,12
2016-05-27,11
2016-05-28,10
2016-05-29,12
2016-05-30,12
2016-05-31,11
2016-06-01,11
2016-06-02,10
2016-06-03,10
2016-06-04,10
2016-06-05,9
2016-06-06,10
2016-06-07,11
2016-06-08,8
2016-06-09,11
2016-06-10,14
2016-06-11,10
2016-06-12,8
2016-06-13,11
2016-06-14,12
2016-06-15,17
2016-06-16,11
2016-06-17,12
2016-06-18,9
2016-06-19,11
2016-06-20,12
2016-06-21,11
2016-06-22,15
2016-06-23,11
2016-06-24,13
2016-06-25,17
2016-06-26,14
2016-06-27,13
2016-06-28,11
2016-06-29,14
2016-06-30,13
2016-07-01,13
2016-07-02,9
2016-07-03,11
2016-07-04,11
2016-07-05,13
2016-07-06,17
2016-07-07,15
2016-07-08,13
2016-07-09,12
2016-07-10,12
2016-07-11,16
2016-07-12,14
2016-07-13,30
2016-07-14,20
2016-07-15,14
2016-07-16,20
2016-07-17,16
2016-07-18,16
2016-07-19,21
2016-07-20,21
2016-07-21,23
2016-07-22,17
2016-07-23,15
2016-07-24,15
2016-07-25,20
2016-07-26,18
2016-07-27,16
2016-07-28,16
2016-07-29,16
2016-07-30,16
2016-07-31,18
2016-08-01,25
2016-08-02,20
2016-08-03,16
2016-08-04,15
2016-08-05,21
2016-08-06,18
2016-08-07,16
2016-08-08,18
2016-08-09,18
2016-08-10,17
2016-08-11,18
2016-08-12,20
2016-08-13,28
2016-08-14,19
2016-08-15,18
2016-08-16,18
2016-08-17,17
2016-08-18,20
2016-08-19,18
2016-08-20,29
2016-08-21,15
2016-08-22,17
2016-08-23,18
2016-08-24,17
2016-08-25,17
2016-08-26,18
2016-08-27,20
2016-08-28,44
2016-08-29,22
2016-08-30,22
2016-08-31,31
2016-09-01,20
2016-09-02,17
2016-09-03,18
2016-09-04,15
2016-09-05,12
2016-09-06,15
2016-09-07,14
2016-09-08,16
2016-09-09,15
2016-09-10,20
2016-09-11,16
