date,WBA
2012-01-26,11
2012-01-27,13
2012-01-28,16
2012-01-29,13
2012-01-30,14
2012-01-31,17
2012-02-01,20
2012-02-02,15
2012-02-03,11
2012-02-04,17
2012-02-05,12
2012-02-06,14
2012-02-07,12
2012-02-08,13
2012-02-09,10
2012-02-10,12
2012-02-11,12
2012-02-12,32
2012-02-13,13
2012-02-14,11
2012-02-15,11
2012-02-16,11
2012-02-17,12
2012-02-18,17
2012-02-19,18
2012-02-20,15
2012-02-21,13
2012-02-22,13
2012-02-23,14
2012-02-24,15
2012-02-25,32
2012-02-26,22
2012-02-27,16
2012-02-28,12
2012-02-29,12
2012-03-01,12
2012-03-02,14
2012-03-03,44
2012-03-04,30
2012-03-05,21
2012-03-06,14
2012-03-07,13
2012-03-08,13
2012-03-09,12
2012-03-10,15
2012-03-11,51
2012-03-12,17
2012-03-13,11
2012-03-14,13
2012-03-15,11
2012-03-16,14
2012-03-17,19
2012-03-18,12
2012-03-19,11
2012-03-20,12
2012-03-21,11
2012-03-22,10
2012-03-23,9
2012-03-24,11
2012-03-25,32
2012-03-26,14
2012-03-27,13
2012-03-28,10
2012-03-29,9
2012-03-30,11
2012-03-31,17
2012-04-01,10
2012-04-02,9
2012-04-03,9
2012-04-04,16
2012-04-05,13
2012-04-06,15
2012-04-07,16
2012-04-08,13
2012-04-09,11
2012-04-10,14
2012-04-11,28
2012-04-12,17
2012-04-13,14
2012-04-14,21
2012-04-15,12
2012-04-16,11
2012-04-17,13
2012-04-18,10
2012-04-19,9
2012-04-20,10
2012-04-21,13
2012-04-22,43
2012-04-23,17
2012-04-24,12
2012-04-25,12
2012-04-26,11
2012-04-27,11
2012-04-28,22
2012-04-29,18
2012-04-30,18
2012-05-01,23
2012-05-02,15
2012-05-03,15
2012-05-04,13
2012-05-05,16
2012-05-06,30
2012-05-07,15
2012-05-08,15
2012-05-09,17
2012-05-10,14
2012-05-11,13
2012-05-12,15
2012-05-13,71
2012-05-14,28
2012-05-15,18
2012-05-16,13
2012-05-17,17
2012-05-18,14
2012-05-19,12
2012-05-20,13
2012-05-21,13
2012-05-22,13
2012-05-23,10
2012-05-24,13
2012-05-25,11
2012-05-26,10
2012-05-27,11
2012-05-28,13
2012-05-29,14
2012-05-30,13
2012-05-31,15
2012-06-01,13
2012-06-02,13
2012-06-03,14
2012-06-04,11
2012-06-05,10
2012-06-06,12
2012-06-07,17
2012-06-08,16
2012-06-09,12
2012-06-10,16
2012-06-11,11
2012-06-12,11
2012-06-13,11
2012-06-14,14
2012-06-15,16
2012-06-16,13
2012-06-17,12
2012-06-18,22
2012-06-19,13
2012-06-20,58
2012-06-21,22
2012-06-22,17
2012-06-23,14
2012-06-24,10
2012-06-25,13
2012-06-26,10
2012-06-27,11
2012-06-28,10
2012-06-29,10
2012-06-30,12
2012-07-01,11
2012-07-02,10
2012-07-03,11
2012-07-04,11
2012-07-05,11
2012-07-06,10
2012-07-07,15
2012-07-08,12
2012-07-09,13
2012-07-10,12
2012-07-11,14
2012-07-12,14
2012-07-13,14
2012-07-14,20
2012-07-15,17
2012-07-16,17
2012-07-17,15
2012-07-18,16
2012-07-19,17
2012-07-20,13
2012-07-21,13
2012-07-22,9
2012-07-23,12
2012-07-24,16
2012-07-25,15
2012-07-26,11
2012-07-27,11
2012-07-28,13
2012-07-29,10
2012-07-30,14
2012-07-31,9
2012-08-01,10
2012-08-02,9
2012-08-03,10
2012-08-04,13
2012-08-05,10
2012-08-06,12
2012-08-07,19
2012-08-08,13
2012-08-09,11
2012-08-10,14
2012-08-11,17
2012-08-12,13
2012-08-13,14
2012-08-14,13
2012-08-15,14
2012-08-16,15
2012-08-17,20
2012-08-18,100
2012-08-19,33
2012-08-20,20
2012-08-21,14
2012-08-22,16
2012-08-23,11
2012-08-24,12
2012-08-25,35
2012-08-26,16
2012-08-27,12
2012-08-28,17
2012-08-29,16
2012-08-30,13
2012-08-31,18
2012-09-01,32
2012-09-02,19
2012-09-03,14
2012-09-04,11
2012-09-05,10
2012-09-06,13
2012-09-07,10
2012-09-08,9
2012-09-09,12
2012-09-10,11
2012-09-11,9
2012-09-12,10
2012-09-13,9
2012-09-14,10
2012-09-15,18
2012-09-16,14
2012-09-17,11
2012-09-18,11
2012-09-19,9
2012-09-20,10
2012-09-21,10
2012-09-22,18
2012-09-23,12
2012-09-24,14
2012-09-25,16
2012-09-26,62
2012-09-27,35
2012-09-28,17
2012-09-29,18
2012-09-30,43
2012-10-01,17
2012-10-02,13
2012-10-03,11
2012-10-04,10
2012-10-05,11
2012-10-06,26
2012-10-07,16
2012-10-08,12
2012-10-09,11
2012-10-10,11
2012-10-11,9
2012-10-12,9
