date,WBA
2011-01-01,56
2011-01-02,21
2011-01-03,14
2011-01-04,23
2011-01-05,21
2011-01-06,17
2011-01-07,17
2011-01-08,21
2011-01-09,18
2011-01-10,20
2011-01-11,13
2011-01-12,17
2011-01-13,14
2011-01-14,16
2011-01-15,25
2011-01-16,17
2011-01-17,18
2011-01-18,15
2011-01-19,14
2011-01-20,13
2011-01-21,13
2011-01-22,14
2011-01-23,24
2011-01-24,15
2011-01-25,21
2011-01-26,16
2011-01-27,15
2011-01-28,16
2011-01-29,19
2011-01-30,17
2011-01-31,25
2011-02-01,28
2011-02-02,17
2011-02-03,13
2011-02-04,15
2011-02-05,26
2011-02-06,48
2011-02-07,31
2011-02-08,22
2011-02-09,22
2011-02-10,21
2011-02-11,26
2011-02-12,31
2011-02-13,14
2011-02-14,16
2011-02-15,16
2011-02-16,14
2011-02-17,15
2011-02-18,14
2011-02-19,19
2011-02-20,56
2011-02-21,18
2011-02-22,15
2011-02-23,12
2011-02-24,10
2011-02-25,15
2011-02-26,14
2011-02-27,13
2011-02-28,28
2011-03-01,23
2011-03-02,14
2011-03-03,18
2011-03-04,13
2011-03-05,26
2011-03-06,18
2011-03-07,12
2011-03-08,10
2011-03-09,12
2011-03-10,14
2011-03-11,11
2011-03-12,12
2011-03-13,18
2011-03-14,13
2011-03-15,15
2011-03-16,13
2011-03-17,13
2011-03-18,13
2011-03-19,44
2011-03-20,25
2011-03-21,15
2011-03-22,14
2011-03-23,15
2011-03-24,12
2011-03-25,11
2011-03-26,13
2011-03-27,14
2011-03-28,14
2011-03-29,15
2011-03-30,13
2011-03-31,10
2011-04-01,12
2011-04-02,37
2011-04-03,23
2011-04-04,17
2011-04-05,10
2011-04-06,13
2011-04-07,16
2011-04-08,19
2011-04-09,22
2011-04-10,18
2011-04-11,16
2011-04-12,18
2011-04-13,13
2011-04-14,16
2011-04-15,15
2011-04-16,34
2011-04-17,18
2011-04-18,18
2011-04-19,16
2011-04-20,18
2011-04-21,16
2011-04-22,13
2011-04-23,31
2011-04-24,17
2011-04-25,13
2011-04-26,15
2011-04-27,14
2011-04-28,12
2011-04-29,13
2011-04-30,30
2011-05-01,19
2011-05-02,17
2011-05-03,10
2011-05-04,14
2011-05-05,17
2011-05-06,15
2011-05-07,25
2011-05-08,38
2011-05-09,15
2011-05-10,14
2011-05-11,14
2011-05-12,16
2011-05-13,16
2011-05-14,25
2011-05-15,16
2011-05-16,14
2011-05-17,13
2011-05-18,15
2011-05-19,16
2011-05-20,13
2011-05-21,13
2011-05-22,24
2011-05-23,21
2011-05-24,19
2011-05-25,14
2011-05-26,15
2011-05-27,15
2011-05-28,16
2011-05-29,10
2011-05-30,16
2011-05-31,12
2011-06-01,14
2011-06-02,12
2011-06-03,14
2011-06-04,15
2011-06-05,16
2011-06-06,13
2011-06-07,13
2011-06-08,12
2011-06-09,11
2011-06-10,12
2011-06-11,15
2011-06-12,18
2011-06-13,17
2011-06-14,12
2011-06-15,11
2011-06-16,12
2011-06-17,23
2011-06-18,12
2011-06-19,14
2011-06-20,11
2011-06-21,15
2011-06-22,14
2011-06-23,16
2011-06-24,16
2011-06-25,16
2011-06-26,21
2011-06-27,15
2011-06-28,24
2011-06-29,19
2011-06-30,24
2011-07-01,19
2011-07-02,39
2011-07-03,45
2011-07-04,30
2011-07-05,19
2011-07-06,17
2011-07-07,16
2011-07-08,21
2011-07-09,18
2011-07-10,25
2011-07-11,19
2011-07-12,21
2011-07-13,23
2011-07-14,17
2011-07-15,19
2011-07-16,18
2011-07-17,15
2011-07-18,16
2011-07-19,19
2011-07-20,17
2011-07-21,18
2011-07-22,17
2011-07-23,18
2011-07-24,15
2011-07-25,17
2011-07-26,16
2011-07-27,20
2011-07-28,16
2011-07-29,18
2011-07-30,17
2011-07-31,16
2011-08-01,13
2011-08-02,16
2011-08-03,21
2011-08-04,17
2011-08-05,18
2011-08-06,16
2011-08-07,26
2011-08-08,22
2011-08-09,20
2011-08-10,22
2011-08-11,24
2011-08-12,20
2011-08-13,20
2011-08-14,100
2011-08-15,31
2011-08-16,16
2011-08-17,14
2011-08-18,14
2011-08-19,20
2011-08-20,69
2011-08-21,20
2011-08-22,13
2011-08-23,22
2011-08-24,16
2011-08-25,15
2011-08-26,18
2011-08-27,16
2011-08-28,41
2011-08-29,21
2011-08-30,18
2011-08-31,25
2011-09-01,14
2011-09-02,17
2011-09-03,11
2011-09-04,15
2011-09-05,15
2011-09-06,13
2011-09-07,13
2011-09-08,13
2011-09-09,13
2011-09-10,15
2011-09-11,36
2011-09-12,18
2011-09-13,18
2011-09-14,13
2011-09-15,12
2011-09-16,16
2011-09-17,23
2011-09-18,20
