date,WBA
2016-08-02,18
2016-08-03,16
2016-08-04,17
2016-08-05,20
2016-08-06,18
2016-08-07,16
2016-08-08,18
2016-08-09,17
2016-08-10,17
2016-08-11,19
2016-08-12,19
2016-08-13,26
2016-08-14,17
2016-08-15,16
2016-08-16,16
2016-08-17,18
2016-08-18,16
2016-08-19,20
2016-08-20,30
2016-08-21,14
2016-08-22,17
2016-08-23,19
2016-08-24,17
2016-08-25,16
2016-08-26,19
2016-08-27,16
2016-08-28,44
2016-08-29,20
2016-08-30,21
2016-08-31,28
2016-09-01,19
2016-09-02,16
2016-09-03,19
2016-09-04,14
2016-09-05,13
2016-09-06,14
2016-09-07,12
2016-09-08,14
2016-09-09,13
2016-09-10,20
2016-09-11,14
2016-09-12,14
2016-09-13,13
2016-09-14,9
2016-09-15,12
2016-09-16,12
2016-09-17,27
2016-09-18,14
2016-09-19,13
2016-09-20,14
2016-09-21,12
2016-09-22,13
2016-09-23,13
2016-09-24,19
2016-09-25,11
2016-09-26,17
2016-09-27,11
2016-09-28,13
2016-09-29,13
2016-09-30,13
2016-10-01,25
2016-10-02,10
2016-10-03,12
2016-10-04,11
2016-10-05,13
2016-10-06,12
2016-10-07,10
2016-10-08,10
2016-10-09,12
2016-10-10,11
2016-10-11,13
2016-10-12,13
2016-10-13,12
2016-10-14,11
2016-10-15,32
2016-10-16,14
2016-10-17,12
2016-10-18,17
2016-10-19,16
2016-10-20,19
2016-10-21,22
2016-10-22,72
2016-10-23,28
2016-10-24,19
2016-10-25,16
2016-10-26,15
2016-10-27,11
2016-10-28,15
2016-10-29,41
2016-10-30,18
2016-10-31,14
2016-11-01,13
2016-11-02,16
2016-11-03,11
2016-11-04,12
2016-11-05,12
2016-11-06,40
2016-11-07,16
2016-11-08,14
2016-11-09,13
2016-11-10,12
2016-11-11,10
2016-11-12,11
2016-11-13,12
2016-11-14,10
2016-11-15,12
2016-11-16,12
2016-11-17,9
2016-11-18,12
2016-11-19,13
2016-11-20,19
2016-11-21,47
2016-11-22,19
2016-11-23,11
2016-11-24,11
2016-11-25,13
2016-11-26,23
2016-11-27,13
2016-11-28,12
2016-11-29,13
2016-11-30,12
2016-12-01,12
2016-12-02,12
2016-12-03,26
2016-12-04,16
2016-12-05,14
2016-12-06,15
2016-12-07,12
2016-12-08,12
2016-12-09,15
2016-12-10,22
2016-12-11,87
2016-12-12,22
2016-12-13,17
2016-12-14,28
2016-12-15,17
2016-12-16,15
2016-12-17,100
2016-12-18,34
2016-12-19,17
2016-12-20,16
2016-12-21,14
2016-12-22,15
2016-12-23,12
2016-12-24,12
2016-12-25,14
2016-12-26,57
2016-12-27,17
2016-12-28,17
2016-12-29,12
2016-12-30,16
2016-12-31,26
2017-01-01,21
2017-01-02,39
2017-01-03,18
2017-01-04,16
2017-01-05,21
2017-01-06,19
2017-01-07,27
2017-01-08,15
2017-01-09,16
2017-01-10,14
2017-01-11,18
2017-01-12,16
2017-01-13,20
2017-01-14,47
2017-01-15,16
2017-01-16,14
2017-01-17,16
2017-01-18,15
2017-01-19,19
2017-01-20,22
2017-01-21,29
2017-01-22,15
2017-01-23,17
2017-01-24,13
2017-01-25,15
2017-01-26,16
2017-01-27,14
2017-01-28,13
2017-01-29,17
2017-01-30,18
2017-01-31,28
2017-02-01,16
2017-02-02,12
2017-02-03,14
2017-02-04,28
2017-02-05,15
2017-02-06,13
2017-02-07,15
2017-02-08,11
2017-02-09,13
2017-02-10,11
2017-02-11,23
2017-02-12,12
2017-02-13,12
2017-02-14,12
2017-02-15,12
2017-02-16,11
2017-02-17,12
2017-02-18,11
2017-02-19,12
2017-02-20,12
2017-02-21,11
2017-02-22,14
2017-02-23,14
2017-02-24,13
2017-02-25,19
2017-02-26,14
2017-02-27,14
2017-02-28,12
2017-03-01,13
2017-03-02,14
2017-03-03,15
2017-03-04,27
2017-03-05,13
2017-03-06,15
2017-03-07,13
2017-03-08,15
2017-03-09,13
2017-03-10,12
2017-03-11,30
2017-03-12,15
2017-03-13,14
2017-03-14,13
2017-03-15,12
2017-03-16,12
2017-03-17,14
2017-03-18,77
2017-03-19,23
2017-03-20,14
2017-03-21,13
2017-03-22,16
2017-03-23,14
2017-03-24,13
2017-03-25,12
2017-03-26,10
2017-03-27,13
2017-03-28,12
2017-03-29,12
2017-03-30,13
2017-03-31,14
2017-04-01,83
2017-04-02,17
2017-04-03,15
2017-04-04,27
2017-04-05,14
2017-04-06,13
2017-04-07,13
2017-04-08,21
2017-04-09,13
2017-04-10,13
2017-04-11,10
2017-04-12,11
2017-04-13,11
2017-04-14,14
2017-04-15,16
2017-04-16,89
2017-04-17,17
2017-04-18,12
