date,WBA
2013-02-19,11
2013-02-20,11
2013-02-21,11
2013-02-22,10
2013-02-23,25
2013-02-24,13
2013-02-25,12
2013-02-26,12
2013-02-27,12
2013-02-28,11
2013-03-01,11
2013-03-02,38
2013-03-03,16
2013-03-04,11
2013-03-05,13
2013-03-06,11
2013-03-07,11
2013-03-08,14
2013-03-09,33
2013-03-10,18
2013-03-11,12
2013-03-12,12
2013-03-13,13
2013-03-14,14
2013-03-15,12
2013-03-16,17
2013-03-17,12
2013-03-18,11
2013-03-19,13
2013-03-20,11
2013-03-21,8
2013-03-22,8
2013-03-23,9
2013-03-24,8
2013-03-25,8
2013-03-26,10
2013-03-27,10
2013-03-28,10
2013-03-29,10
2013-03-30,13
2013-03-31,14
2013-04-01,13
2013-04-02,10
2013-04-03,9
2013-04-04,11
2013-04-05,16
2013-04-06,65
2013-04-07,22
2013-04-08,20
2013-04-09,12
2013-04-10,12
2013-04-11,11
2013-04-12,11
2013-04-13,10
2013-04-14,13
2013-04-15,12
2013-04-16,12
2013-04-17,8
2013-04-18,12
2013-04-19,9
2013-04-20,15
2013-04-21,14
2013-04-22,11
2013-04-23,11
2013-04-24,9
2013-04-25,11
2013-04-26,13
2013-04-27,16
2013-04-28,14
2013-04-29,13
2013-04-30,12
2013-05-01,11
2013-05-02,10
2013-05-03,9
2013-05-04,21
2013-05-05,14
2013-05-06,16
2013-05-07,51
2013-05-08,30
2013-05-09,16
2013-05-10,15
2013-05-11,13
2013-05-12,19
2013-05-13,12
2013-05-14,10
2013-05-15,12
2013-05-16,9
2013-05-17,16
2013-05-18,20
2013-05-19,70
2013-05-20,30
2013-05-21,16
2013-05-22,15
2013-05-23,13
2013-05-24,8
2013-05-25,10
2013-05-26,13
2013-05-27,8
2013-05-28,12
2013-05-29,12
2013-05-30,9
2013-05-31,12
2013-06-01,8
2013-06-02,7
2013-06-03,10
2013-06-04,12
2013-06-05,10
2013-06-06,9
2013-06-07,11
2013-06-08,8
2013-06-09,9
2013-06-10,10
2013-06-11,8
2013-06-12,9
2013-06-13,9
2013-06-14,10
2013-06-15,10
2013-06-16,9
2013-06-17,11
2013-06-18,10
2013-06-19,20
2013-06-20,11
2013-06-21,12
2013-06-22,11
2013-06-23,14
2013-06-24,15
2013-06-25,11
2013-06-26,11
2013-06-27,11
2013-06-28,11
2013-06-29,14
2013-06-30,13
2013-07-01,10
2013-07-02,11
2013-07-03,12
2013-07-04,23
2013-07-05,14
2013-07-06,14
2013-07-07,9
2013-07-08,13
2013-07-09,13
2013-07-10,14
2013-07-11,13
2013-07-12,18
2013-07-13,14
2013-07-14,11
2013-07-15,14
2013-07-16,15
2013-07-17,17
2013-07-18,14
2013-07-19,9
2013-07-20,11
2013-07-21,11
2013-07-22,15
2013-07-23,23
2013-07-24,16
2013-07-25,15
2013-07-26,13
2013-07-27,21
2013-07-28,16
2013-07-29,22
2013-07-30,15
2013-07-31,16
2013-08-01,34
2013-08-02,24
2013-08-03,20
2013-08-04,19
2013-08-05,18
2013-08-06,21
2013-08-07,15
2013-08-08,14
2013-08-09,14
2013-08-10,26
2013-08-11,24
2013-08-12,36
2013-08-13,25
2013-08-14,20
2013-08-15,20
2013-08-16,21
2013-08-17,30
2013-08-18,18
2013-08-19,19
2013-08-20,18
2013-08-21,15
2013-08-22,24
2013-08-23,22
2013-08-24,32
2013-08-25,20
2013-08-26,21
2013-08-27,26
2013-08-28,22
2013-08-29,20
2013-08-30,15
2013-08-31,18
2013-09-01,29
2013-09-02,35
2013-09-03,33
2013-09-04,19
2013-09-05,13
2013-09-06,10
2013-09-07,12
2013-09-08,14
2013-09-09,10
2013-09-10,11
2013-09-11,21
2013-09-12,14
2013-09-13,12
2013-09-14,23
2013-09-15,25
2013-09-16,15
2013-09-17,17
2013-09-18,14
2013-09-19,12
2013-09-20,10
2013-09-21,24
2013-09-22,13
2013-09-23,15
2013-09-24,13
2013-09-25,64
2013-09-26,27
2013-09-27,10
2013-09-28,85
2013-09-29,37
2013-09-30,20
2013-10-01,14
2013-10-02,15
2013-10-03,13
2013-10-04,15
2013-10-05,29
2013-10-06,100
2013-10-07,28
2013-10-08,19
2013-10-09,14
2013-10-10,11
2013-10-11,13
2013-10-12,10
2013-10-13,13
2013-10-14,11
2013-10-15,12
2013-10-16,13
2013-10-17,11
2013-10-18,11
2013-10-19,20
2013-10-20,13
2013-10-21,12
2013-10-22,9
2013-10-23,10
2013-10-24,13
2013-10-25,13
2013-10-26,64
2013-10-27,35
2013-10-28,17
2013-10-29,13
2013-10-30,14
2013-10-31,11
2013-11-01,12
2013-11-02,21
2013-11-03,15
2013-11-04,11
2013-11-05,12
2013-11-06,12
