date,WBA
2016-09-11,13
2016-09-12,14
2016-09-13,15
2016-09-14,12
2016-09-15,14
2016-09-16,15
2016-09-17,30
2016-09-18,13
2016-09-19,13
2016-09-20,11
2016-09-21,9
2016-09-22,14
2016-09-23,13
2016-09-24,20
2016-09-25,11
2016-09-26,15
2016-09-27,11
2016-09-28,14
2016-09-29,11
2016-09-30,14
2016-10-01,20
2016-10-02,11
2016-10-03,12
2016-10-04,12
2016-10-05,13
2016-10-06,12
2016-10-07,10
2016-10-08,10
2016-10-09,12
2016-10-10,13
2016-10-11,11
2016-10-12,12
2016-10-13,13
2016-10-14,9
2016-10-15,33
2016-10-16,18
2016-10-17,12
2016-10-18,16
2016-10-19,13
2016-10-20,21
2016-10-21,24
2016-10-22,73
2016-10-23,29
2016-10-24,19
2016-10-25,16
2016-10-26,14
2016-10-27,12
2016-10-28,15
2016-10-29,40
2016-10-30,18
2016-10-31,13
2016-11-01,13
2016-11-02,14
2016-11-03,11
2016-11-04,12
2016-11-05,13
2016-11-06,42
2016-11-07,15
2016-11-08,15
2016-11-09,9
2016-11-10,11
2016-11-11,9
2016-11-12,11
2016-11-13,13
2016-11-14,12
2016-11-15,14
2016-11-16,12
2016-11-17,11
2016-11-18,14
2016-11-19,14
2016-11-20,20
2016-11-21,50
2016-11-22,21
2016-11-23,10
2016-11-24,11
2016-11-25,14
2016-11-26,26
2016-11-27,13
2016-11-28,11
2016-11-29,12
2016-11-30,13
2016-12-01,12
2016-12-02,12
2016-12-03,22
2016-12-04,14
2016-12-05,13
2016-12-06,13
2016-12-07,12
2016-12-08,12
2016-12-09,15
2016-12-10,22
2016-12-11,93
2016-12-12,22
2016-12-13,18
2016-12-14,28
2016-12-15,18
2016-12-16,16
2016-12-17,100
2016-12-18,36
2016-12-19,17
2016-12-20,18
2016-12-21,14
2016-12-22,13
2016-12-23,11
2016-12-24,12
2016-12-25,14
2016-12-26,52
2016-12-27,20
2016-12-28,16
2016-12-29,13
2016-12-30,13
2016-12-31,27
2017-01-01,21
2017-01-02,39
2017-01-03,19
2017-01-04,18
2017-01-05,20
2017-01-06,18
2017-01-07,28
2017-01-08,15
2017-01-09,15
2017-01-10,15
2017-01-11,17
2017-01-12,17
2017-01-13,18
2017-01-14,47
2017-01-15,17
2017-01-16,17
2017-01-17,16
2017-01-18,17
2017-01-19,21
2017-01-20,21
2017-01-21,26
2017-01-22,14
2017-01-23,18
2017-01-24,13
2017-01-25,15
2017-01-26,16
2017-01-27,17
2017-01-28,13
2017-01-29,18
2017-01-30,19
2017-01-31,26
2017-02-01,16
2017-02-02,13
2017-02-03,13
2017-02-04,26
2017-02-05,14
2017-02-06,13
2017-02-07,13
2017-02-08,11
2017-02-09,15
2017-02-10,10
2017-02-11,23
2017-02-12,14
2017-02-13,12
2017-02-14,11
2017-02-15,11
2017-02-16,11
2017-02-17,13
2017-02-18,11
2017-02-19,12
2017-02-20,12
2017-02-21,9
2017-02-22,13
2017-02-23,14
2017-02-24,13
2017-02-25,23
2017-02-26,15
2017-02-27,14
2017-02-28,12
2017-03-01,12
2017-03-02,13
2017-03-03,13
2017-03-04,22
2017-03-05,15
2017-03-06,14
2017-03-07,11
2017-03-08,13
2017-03-09,11
2017-03-10,12
2017-03-11,28
2017-03-12,15
2017-03-13,13
2017-03-14,12
2017-03-15,11
2017-03-16,11
2017-03-17,11
2017-03-18,77
2017-03-19,21
2017-03-20,11
2017-03-21,12
2017-03-22,13
2017-03-23,13
2017-03-24,11
2017-03-25,8
2017-03-26,9
2017-03-27,10
2017-03-28,9
2017-03-29,10
2017-03-30,13
2017-03-31,15
2017-04-01,81
