date,WBA
2013-11-06,15
2013-11-07,14
2013-11-08,14
2013-11-09,93
2013-11-10,34
2013-11-11,19
2013-11-12,16
2013-11-13,15
2013-11-14,17
2013-11-15,12
2013-11-16,14
2013-11-17,16
2013-11-18,18
2013-11-19,22
2013-11-20,17
2013-11-21,17
2013-11-22,17
2013-11-23,23
2013-11-24,26
2013-11-25,70
2013-11-26,32
2013-11-27,17
2013-11-28,18
2013-11-29,16
2013-11-30,41
2013-12-01,19
2013-12-02,19
2013-12-03,27
2013-12-04,46
2013-12-05,22
2013-12-06,17
2013-12-07,35
2013-12-08,18
2013-12-09,18
2013-12-10,15
2013-12-11,17
2013-12-12,11
2013-12-13,13
2013-12-14,37
2013-12-15,46
2013-12-16,28
2013-12-17,28
2013-12-18,26
2013-12-19,26
2013-12-20,25
2013-12-21,28
2013-12-22,24
2013-12-23,25
2013-12-24,16
2013-12-25,19
2013-12-26,39
2013-12-27,34
2013-12-28,58
2013-12-29,23
2013-12-30,18
2013-12-31,30
2014-01-01,45
2014-01-02,26
2014-01-03,19
2014-01-04,34
2014-01-05,19
2014-01-06,21
2014-01-07,24
2014-01-08,23
2014-01-09,28
2014-01-10,22
2014-01-11,28
2014-01-12,19
2014-01-13,16
2014-01-14,17
2014-01-15,20
2014-01-16,16
2014-01-17,23
2014-01-18,22
2014-01-19,20
2014-01-20,81
2014-01-21,28
2014-01-22,17
2014-01-23,21
2014-01-24,20
2014-01-25,16
2014-01-26,17
2014-01-27,20
2014-01-28,23
2014-01-29,45
2014-01-30,26
2014-01-31,28
2014-02-01,27
2014-02-02,100
2014-02-03,26
2014-02-04,14
2014-02-05,17
2014-02-06,17
2014-02-07,17
2014-02-08,27
2014-02-09,20
2014-02-10,20
2014-02-11,82
2014-02-12,39
2014-02-13,17
2014-02-14,15
2014-02-15,13
2014-02-16,14
2014-02-17,15
2014-02-18,14
2014-02-19,12
2014-02-20,14
2014-02-21,14
2014-02-22,26
2014-02-23,18
2014-02-24,14
2014-02-25,13
2014-02-26,14
2014-02-27,14
2014-02-28,16
2014-03-01,14
2014-03-02,15
2014-03-03,13
2014-03-04,14
2014-03-05,12
2014-03-06,19
2014-03-07,16
2014-03-08,91
2014-03-09,33
2014-03-10,17
2014-03-11,13
2014-03-12,11
2014-03-13,10
2014-03-14,13
2014-03-15,26
2014-03-16,16
2014-03-17,18
2014-03-18,12
2014-03-19,13
2014-03-20,13
2014-03-21,15
2014-03-22,20
2014-03-23,13
2014-03-24,10
2014-03-25,15
2014-03-26,14
2014-03-27,11
2014-03-28,12
2014-03-29,31
2014-03-30,17
2014-03-31,16
2014-04-01,14
2014-04-02,17
2014-04-03,15
2014-04-04,14
2014-04-05,25
2014-04-06,24
2014-04-07,18
2014-04-08,13
2014-04-09,16
2014-04-10,14
2014-04-11,14
2014-04-12,54
2014-04-13,23
2014-04-14,19
2014-04-15,16
2014-04-16,17
2014-04-17,16
2014-04-18,13
2014-04-19,18
2014-04-20,24
2014-04-21,83
2014-04-22,28
2014-04-23,19
2014-04-24,13
2014-04-25,15
2014-04-26,37
2014-04-27,21
2014-04-28,18
2014-04-29,11
2014-04-30,16
2014-05-01,19
2014-05-02,20
2014-05-03,27
2014-05-04,80
2014-05-05,27
2014-05-06,20
2014-05-07,50
2014-05-08,23
2014-05-09,16
2014-05-10,17
2014-05-11,40
2014-05-12,26
2014-05-13,17
2014-05-14,17
2014-05-15,16
2014-05-16,16
2014-05-17,15
2014-05-18,14
2014-05-19,17
2014-05-20,21
2014-05-21,19
2014-05-22,20
2014-05-23,17
2014-05-24,22
2014-05-25,16
2014-05-26,14
2014-05-27,18
2014-05-28,20
2014-05-29,19
2014-05-30,16
2014-05-31,16
2014-06-01,22
2014-06-02,23
2014-06-03,17
2014-06-04,18
2014-06-05,19
2014-06-06,16
2014-06-07,18
2014-06-08,18
2014-06-09,18
2014-06-10,23
2014-06-11,19
2014-06-12,22
2014-06-13,20
2014-06-14,27
2014-06-15,23
2014-06-16,22
2014-06-17,12
2014-06-18,33
2014-06-19,26
2014-06-20,24
2014-06-21,16
2014-06-22,23
2014-06-23,21
2014-06-24,18
2014-06-25,17
2014-06-26,16
2014-06-27,18
2014-06-28,18
2014-06-29,16
2014-06-30,18
2014-07-01,19
2014-07-02,17
2014-07-03,20
2014-07-04,17
2014-07-05,17
2014-07-06,18
2014-07-07,25
2014-07-08,22
2014-07-09,26
2014-07-10,21
2014-07-11,32
2014-07-12,29
2014-07-13,23
2014-07-14,22
2014-07-15,24
2014-07-16,20
2014-07-17,20
2014-07-18,25
2014-07-19,26
2014-07-20,24
2014-07-21,27
2014-07-22,26
2014-07-23,21
2014-07-24,23
