date,ATVI
2013-06-29,7
2013-06-30,4
2013-07-01,17
2013-07-02,6
2013-07-03,3
2013-07-04,6
2013-07-05,8
2013-07-06,6
2013-07-07,3
2013-07-08,13
2013-07-09,12
2013-07-10,13
2013-07-11,13
2013-07-12,12
2013-07-13,3
2013-07-14,6
2013-07-15,11
2013-07-16,8
2013-07-17,7
2013-07-18,17
2013-07-19,14
2013-07-20,6
2013-07-21,7
2013-07-22,14
2013-07-23,15
2013-07-24,9
2013-07-25,13
2013-07-26,100
2013-07-27,22
2013-07-28,11
2013-07-29,34
2013-07-30,31
2013-07-31,14
2013-08-01,36
2013-08-02,35
2013-08-03,7
2013-08-04,6
2013-08-05,21
2013-08-06,11
2013-08-07,10
2013-08-08,10
2013-08-09,18
2013-08-10,7
2013-08-11,13
2013-08-12,15
2013-08-13,11
2013-08-14,12
2013-08-15,15
2013-08-16,5
2013-08-17,10
2013-08-18,4
2013-08-19,7
2013-08-20,18
2013-08-21,13
2013-08-22,17
2013-08-23,21
2013-08-24,15
2013-08-25,12
2013-08-26,16
2013-08-27,9
2013-08-28,15
2013-08-29,15
2013-08-30,9
2013-08-31,10
2013-09-01,5
2013-09-02,10
2013-09-03,16
2013-09-04,14
2013-09-05,13
2013-09-06,7
2013-09-07,9
2013-09-08,3
2013-09-09,10
2013-09-10,8
2013-09-11,12
2013-09-12,13
2013-09-13,11
2013-09-14,3
2013-09-15,8
2013-09-16,13
2013-09-17,12
2013-09-18,11
2013-09-19,17
2013-09-20,13
2013-09-21,7
2013-09-22,5
2013-09-23,10
2013-09-24,11
2013-09-25,19
2013-09-26,14
2013-09-27,10
2013-09-28,4
2013-09-29,5
2013-09-30,9
2013-10-01,13
2013-10-02,10
2013-10-03,12
2013-10-04,9
2013-10-05,13
2013-10-06,3
2013-10-07,10
2013-10-08,11
2013-10-09,9
2013-10-10,16
2013-10-11,15
2013-10-12,5
2013-10-13,5
2013-10-14,6
2013-10-15,12
2013-10-16,16
2013-10-17,9
2013-10-18,14
2013-10-19,12
2013-10-20,8
2013-10-21,6
2013-10-22,18
2013-10-23,10
2013-10-24,5
2013-10-25,16
2013-10-26,3
2013-10-27,3
2013-10-28,10
2013-10-29,15
2013-10-30,20
2013-10-31,4
2013-11-01,17
2013-11-02,4
2013-11-03,5
2013-11-04,13
2013-11-05,31
2013-11-06,36
2013-11-07,37
2013-11-08,12
2013-11-09,5
2013-11-10,7
2013-11-11,22
2013-11-12,17
2013-11-13,14
2013-11-14,15
2013-11-15,20
2013-11-16,5
2013-11-17,7
2013-11-18,14
2013-11-19,16
2013-11-20,14
2013-11-21,16
2013-11-22,14
2013-11-23,9
2013-11-24,10
2013-11-25,10
2013-11-26,6
2013-11-27,11
2013-11-28,5
2013-11-29,8
2013-11-30,4
2013-12-01,10
2013-12-02,8
2013-12-03,14
2013-12-04,18
2013-12-05,14
2013-12-06,13
2013-12-07,3
2013-12-08,10
2013-12-09,16
2013-12-10,5
2013-12-11,9
2013-12-12,12
2013-12-13,16
2013-12-14,3
2013-12-15,10
2013-12-16,10
2013-12-17,13
2013-12-18,14
2013-12-19,18
2013-12-20,9
2013-12-21,5
2013-12-22,3
2013-12-23,2
2013-12-24,16
2013-12-25,7
2013-12-26,9
2013-12-27,10
2013-12-28,7
2013-12-29,5
2013-12-30,6
2013-12-31,13
2014-01-01,3
2014-01-02,17
2014-01-03,15
2014-01-04,7
2014-01-05,2
2014-01-06,13
2014-01-07,7
2014-01-08,10
2014-01-09,11
2014-01-10,16
2014-01-11,8
2014-01-12,10
2014-01-13,7
2014-01-14,12
2014-01-15,10
2014-01-16,7
2014-01-17,13
2014-01-18,6
2014-01-19,10
2014-01-20,9
2014-01-21,10
2014-01-22,12
2014-01-23,8
2014-01-24,11
2014-01-25,2
2014-01-26,0
2014-01-27,5
2014-01-28,11
2014-01-29,7
2014-01-30,9
2014-01-31,5
2014-02-01,6
2014-02-02,6
2014-02-03,5
2014-02-04,12
2014-02-05,12
2014-02-06,10
2014-02-07,43
2014-02-08,18
2014-02-09,6
2014-02-10,15
2014-02-11,22
2014-02-12,12
2014-02-13,18
2014-02-14,15
2014-02-15,5
2014-02-16,5
2014-02-17,6
2014-02-18,10
2014-02-19,8
2014-02-20,13
2014-02-21,21
2014-02-22,7
2014-02-23,4
2014-02-24,11
2014-02-25,14
2014-02-26,16
2014-02-27,13
2014-02-28,16
2014-03-01,6
2014-03-02,7
2014-03-03,7
2014-03-04,11
2014-03-05,20
2014-03-06,16
2014-03-07,11
2014-03-08,0
2014-03-09,7
2014-03-10,16
2014-03-11,10
2014-03-12,11
2014-03-13,12
2014-03-14,14
2014-03-15,11
2014-03-16,9
