date,DLTR
2014-12-01,31
2014-12-02,21
2014-12-03,28
2014-12-04,32
2014-12-05,37
2014-12-06,50
2014-12-07,25
2014-12-08,29
2014-12-09,21
2014-12-10,52
2014-12-11,21
2014-12-12,45
2014-12-13,25
2014-12-14,50
2014-12-15,42
2014-12-16,32
2014-12-17,44
2014-12-18,67
2014-12-19,47
2014-12-20,52
2014-12-21,26
2014-12-22,23
2014-12-23,39
2014-12-24,26
2014-12-25,0
2014-12-26,51
2014-12-27,26
2014-12-28,26
2014-12-29,23
2014-12-30,58
2014-12-31,26
2015-01-01,0
2015-01-02,24
2015-01-03,24
2015-01-04,36
2015-01-05,21
2015-01-06,42
2015-01-07,20
2015-01-08,41
2015-01-09,32
2015-01-10,48
2015-01-11,24
2015-01-12,41
2015-01-13,27
2015-01-14,51
2015-01-15,41
2015-01-16,53
2015-01-17,24
2015-01-18,0
2015-01-19,0
2015-01-20,30
2015-01-21,51
2015-01-22,20
2015-01-23,42
2015-01-24,32
2015-01-25,0
2015-01-26,40
2015-01-27,50
2015-01-28,33
2015-01-29,54
2015-01-30,28
2015-01-31,24
2015-02-01,46
2015-02-02,100
2015-02-03,53
2015-02-04,33
2015-02-05,40
2015-02-06,31
2015-02-07,36
2015-02-08,54
2015-02-09,40
2015-02-10,40
2015-02-11,33
2015-02-12,54
2015-02-13,49
2015-02-14,40
2015-02-15,24
2015-02-16,42
2015-02-17,62
2015-02-18,27
2015-02-19,27
2015-02-20,42
2015-02-21,24
2015-02-22,0
2015-02-23,53
2015-02-24,46
2015-02-25,80
2015-02-26,47
2015-02-27,31
2015-02-28,23
2015-03-01,23
2015-03-02,30
2015-03-03,39
2015-03-04,30
2015-03-05,51
2015-03-06,32
2015-03-07,0
2015-03-08,35
2015-03-09,27
2015-03-10,50
2015-03-11,20
2015-03-12,27
2015-03-13,55
2015-03-14,31
2015-03-15,0
2015-03-16,73
2015-03-17,40
2015-03-18,33
2015-03-19,60
2015-03-20,31
2015-03-21,23
2015-03-22,0
2015-03-23,59
2015-03-24,60
2015-03-25,29
2015-03-26,58
2015-03-27,21
2015-03-28,25
2015-03-29,73
2015-03-30,26
2015-03-31,20
2015-04-01,34
2015-04-02,32
2015-04-03,38
2015-04-04,25
2015-04-05,25
2015-04-06,21
2015-04-07,70
2015-04-08,60
2015-04-09,34
2015-04-10,28
2015-04-11,36
2015-04-12,0
2015-04-13,20
2015-04-14,20
2015-04-15,40
2015-04-16,40
2015-04-17,42
2015-04-18,24
2015-04-19,23
2015-04-20,30
2015-04-21,20
2015-04-22,40
2015-04-23,34
2015-04-24,63
2015-04-25,24
2015-04-26,47
2015-04-27,33
2015-04-28,69
2015-04-29,20
2015-04-30,34
2015-05-01,23
2015-05-02,0
2015-05-03,0
2015-05-04,40
2015-05-05,33
2015-05-06,49
2015-05-07,40
2015-05-08,21
2015-05-09,24
2015-05-10,24
2015-05-11,20
2015-05-12,26
2015-05-13,30
2015-05-14,20
2015-05-15,32
2015-05-16,32
2015-05-17,23
2015-05-18,20
2015-05-19,39
2015-05-20,39
2015-05-21,47
2015-05-22,63
2015-05-23,24
2015-05-24,0
2015-05-25,21
2015-05-26,20
2015-05-27,39
2015-05-28,20
2015-05-29,31
2015-05-30,24
2015-05-31,24
2015-06-01,39
2015-06-02,49
2015-06-03,30
2015-06-04,35
2015-06-05,42
2015-06-06,24
2015-06-07,0
2015-06-08,19
2015-06-09,26
2015-06-10,20
2015-06-11,20
2015-06-12,21
2015-06-13,36
2015-06-14,35
2015-06-15,20
2015-06-16,29
2015-06-17,30
2015-06-18,34
2015-06-19,21
2015-06-20,48
2015-06-21,0
2015-06-22,20
2015-06-23,40
2015-06-24,20
2015-06-25,20
2015-06-26,42
2015-06-27,96
2015-06-28,24
2015-06-29,20
2015-06-30,49
2015-07-01,27
2015-07-02,27
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,50
2015-07-07,39
2015-07-08,27
2015-07-09,47
2015-07-10,42
2015-07-11,48
2015-07-12,24
2015-07-13,46
2015-07-14,30
2015-07-15,20
2015-07-16,42
2015-07-17,43
2015-07-18,25
2015-07-19,26
2015-07-20,32
2015-07-21,27
2015-07-22,40
2015-07-23,20
2015-07-24,63
2015-07-25,0
2015-07-26,48
2015-07-27,20
2015-07-28,20
2015-07-29,30
2015-07-30,61
2015-07-31,32
2015-08-01,0
2015-08-02,24
2015-08-03,30
2015-08-04,40
2015-08-05,27
2015-08-06,30
2015-08-07,21
2015-08-08,24
2015-08-09,36
2015-08-10,47
2015-08-11,60
2015-08-12,70
2015-08-13,34
2015-08-14,31
2015-08-15,47
2015-08-16,24
2015-08-17,30
2015-08-18,46
