date,TMUS
2012-10-12,2
2012-10-13,2
2012-10-14,0
2012-10-15,0
2012-10-16,2
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,2
2012-10-26,2
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,2
2012-10-31,0
2012-11-01,2
2012-11-02,2
2012-11-03,2
2012-11-04,0
2012-11-05,2
2012-11-06,0
2012-11-07,0
2012-11-08,2
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,2
2012-11-13,0
2012-11-14,2
2012-11-15,2
2012-11-16,2
2012-11-17,0
2012-11-18,0
2012-11-19,2
2012-11-20,0
2012-11-21,2
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,2
2012-12-04,2
2012-12-05,0
2012-12-06,2
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,2
2012-12-16,0
2012-12-17,2
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,2
2012-12-24,2
2012-12-25,2
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,2
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,2
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,2
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-19,0
2013-01-20,2
2013-01-21,2
2013-01-22,2
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,2
2013-01-27,0
2013-01-28,0
2013-01-29,2
2013-01-30,0
2013-01-31,0
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,2
2013-02-08,2
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,2
2013-02-15,0
2013-02-16,0
2013-02-17,2
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,2
2013-02-25,0
2013-02-26,3
2013-02-27,0
2013-02-28,5
2013-03-01,0
2013-03-02,0
2013-03-03,2
2013-03-04,2
2013-03-05,0
2013-03-06,0
2013-03-07,2
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,1
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,3
2013-03-16,0
2013-03-17,0
2013-03-18,1
2013-03-19,1
2013-03-20,0
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,0
2013-03-27,0
2013-03-28,3
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,2
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,3
2013-04-06,0
2013-04-07,0
2013-04-08,1
2013-04-09,1
2013-04-10,0
2013-04-11,1
2013-04-12,2
2013-04-13,2
2013-04-14,0
2013-04-15,1
2013-04-16,0
2013-04-17,0
2013-04-18,2
2013-04-19,2
2013-04-20,3
2013-04-21,2
2013-04-22,0
2013-04-23,1
2013-04-24,5
2013-04-25,3
2013-04-26,3
2013-04-27,0
2013-04-28,3
2013-04-29,3
2013-04-30,0
2013-05-01,100
2013-05-02,41
2013-05-03,22
2013-05-04,6
2013-05-05,5
2013-05-06,13
2013-05-07,12
2013-05-08,15
2013-05-09,8
2013-05-10,5
2013-05-11,5
2013-05-12,4
2013-05-13,7
2013-05-14,10
2013-05-15,5
2013-05-16,7
2013-05-17,8
2013-05-18,4
2013-05-19,3
2013-05-20,7
2013-05-21,5
2013-05-22,7
2013-05-23,10
2013-05-24,7
2013-05-25,5
2013-05-26,5
2013-05-27,3
2013-05-28,3
2013-05-29,6
2013-05-30,6
2013-05-31,5
2013-06-01,4
2013-06-02,6
2013-06-03,5
2013-06-04,4
2013-06-05,10
2013-06-06,5
2013-06-07,5
2013-06-08,3
2013-06-09,2
2013-06-10,14
2013-06-11,17
2013-06-12,10
2013-06-13,10
2013-06-14,5
2013-06-15,2
2013-06-16,3
2013-06-17,10
2013-06-18,9
2013-06-19,4
2013-06-20,11
2013-06-21,15
2013-06-22,2
2013-06-23,2
2013-06-24,7
2013-06-25,6
2013-06-26,4
2013-06-27,11
2013-06-28,13
2013-06-29,7
