date,TMUS
2013-11-06,37
2013-11-07,22
2013-11-08,26
2013-11-09,10
2013-11-10,12
2013-11-11,21
2013-11-12,43
2013-11-13,27
2013-11-14,32
2013-11-15,46
2013-11-16,12
2013-11-17,15
2013-11-18,34
2013-11-19,28
2013-11-20,23
2013-11-21,25
2013-11-22,16
2013-11-23,8
2013-11-24,11
2013-11-25,13
2013-11-26,10
2013-11-27,10
2013-11-28,7
2013-11-29,9
2013-11-30,8
2013-12-01,4
2013-12-02,16
2013-12-03,16
2013-12-04,11
2013-12-05,13
2013-12-06,22
2013-12-07,10
2013-12-08,6
2013-12-09,7
2013-12-10,15
2013-12-11,7
2013-12-12,19
2013-12-13,37
2013-12-14,14
2013-12-15,4
2013-12-16,42
2013-12-17,27
2013-12-18,19
2013-12-19,39
2013-12-20,69
2013-12-21,41
2013-12-22,12
2013-12-23,30
2013-12-24,33
2013-12-25,16
2013-12-26,51
2013-12-27,46
2013-12-28,18
2013-12-29,8
2013-12-30,34
2013-12-31,48
2014-01-01,17
2014-01-02,29
2014-01-03,27
2014-01-04,17
2014-01-05,24
2014-01-06,37
2014-01-07,35
2014-01-08,77
2014-01-09,84
2014-01-10,38
2014-01-11,21
2014-01-12,23
2014-01-13,33
2014-01-14,37
2014-01-15,27
2014-01-16,11
2014-01-17,42
2014-01-18,21
2014-01-19,6
2014-01-20,22
2014-01-21,28
2014-01-22,44
2014-01-23,41
2014-01-24,36
2014-01-25,17
2014-01-26,9
2014-01-27,28
2014-01-28,25
2014-01-29,16
2014-01-30,27
2014-01-31,25
2014-02-01,17
2014-02-02,13
2014-02-03,22
2014-02-04,33
2014-02-05,27
2014-02-06,43
2014-02-07,25
2014-02-08,7
2014-02-09,9
2014-02-10,32
2014-02-11,30
2014-02-12,27
2014-02-13,32
2014-02-14,30
2014-02-15,13
2014-02-16,15
2014-02-17,20
2014-02-18,20
2014-02-19,13
2014-02-20,24
2014-02-21,29
2014-02-22,17
2014-02-23,9
2014-02-24,17
2014-02-25,47
2014-02-26,32
2014-02-27,24
2014-02-28,21
2014-03-01,9
2014-03-02,5
2014-03-03,20
2014-03-04,26
2014-03-05,28
2014-03-06,14
2014-03-07,26
2014-03-08,6
2014-03-09,13
2014-03-10,16
2014-03-11,24
2014-03-12,20
2014-03-13,24
2014-03-14,17
2014-03-15,7
2014-03-16,4
2014-03-17,20
2014-03-18,12
2014-03-19,17
2014-03-20,24
2014-03-21,18
2014-03-22,13
2014-03-23,7
2014-03-24,11
2014-03-25,15
2014-03-26,19
2014-03-27,16
2014-03-28,21
2014-03-29,7
2014-03-30,4
2014-03-31,12
2014-04-01,23
2014-04-02,19
2014-04-03,19
2014-04-04,22
2014-04-05,11
2014-04-06,7
2014-04-07,31
2014-04-08,12
2014-04-09,17
2014-04-10,11
2014-04-11,16
2014-04-12,8
2014-04-13,4
2014-04-14,13
2014-04-15,17
2014-04-16,11
2014-04-17,17
2014-04-18,16
2014-04-19,10
2014-04-20,8
2014-04-21,12
2014-04-22,11
2014-04-23,14
2014-04-24,22
2014-04-25,12
2014-04-26,7
2014-04-27,9
2014-04-28,26
2014-04-29,26
2014-04-30,38
2014-05-01,100
2014-05-02,50
2014-05-03,15
2014-05-04,6
2014-05-05,16
2014-05-06,25
2014-05-07,14
2014-05-08,27
2014-05-09,15
2014-05-10,11
2014-05-11,4
2014-05-12,26
2014-05-13,26
2014-05-14,37
2014-05-15,19
2014-05-16,20
2014-05-17,10
2014-05-18,8
2014-05-19,33
2014-05-20,25
2014-05-21,20
2014-05-22,22
2014-05-23,16
2014-05-24,13
2014-05-25,8
2014-05-26,9
2014-05-27,32
2014-05-28,27
2014-05-29,37
2014-05-30,36
2014-05-31,19
2014-06-01,11
2014-06-02,22
2014-06-03,19
2014-06-04,34
2014-06-05,75
2014-06-06,42
2014-06-07,17
2014-06-08,15
2014-06-09,34
2014-06-10,51
2014-06-11,75
2014-06-12,49
2014-06-13,42
2014-06-14,13
2014-06-15,13
2014-06-16,17
2014-06-17,24
2014-06-18,19
2014-06-19,41
2014-06-20,39
2014-06-21,24
2014-06-22,4
2014-06-23,19
2014-06-24,33
2014-06-25,25
2014-06-26,16
2014-06-27,26
2014-06-28,6
2014-06-29,11
2014-06-30,12
2014-07-01,35
2014-07-02,30
2014-07-03,20
2014-07-04,12
2014-07-05,4
2014-07-06,4
2014-07-07,17
2014-07-08,21
2014-07-09,19
2014-07-10,21
2014-07-11,26
2014-07-12,17
2014-07-13,6
2014-07-14,23
2014-07-15,7
2014-07-16,13
2014-07-17,11
2014-07-18,34
2014-07-19,22
2014-07-20,9
2014-07-21,14
2014-07-22,16
2014-07-23,13
2014-07-24,23
