date,TMUS
2015-08-18,19
2015-08-19,26
2015-08-20,27
2015-08-21,30
2015-08-22,17
2015-08-23,8
2015-08-24,41
2015-08-25,28
2015-08-26,24
2015-08-27,29
2015-08-28,24
2015-08-29,8
2015-08-30,10
2015-08-31,15
2015-09-01,24
2015-09-02,19
2015-09-03,22
2015-09-04,12
2015-09-05,5
2015-09-06,8
2015-09-07,9
2015-09-08,15
2015-09-09,10
2015-09-10,14
2015-09-11,11
2015-09-12,9
2015-09-13,4
2015-09-14,18
2015-09-15,16
2015-09-16,19
2015-09-17,24
2015-09-18,21
2015-09-19,6
2015-09-20,13
2015-09-21,21
2015-09-22,24
2015-09-23,13
2015-09-24,23
2015-09-25,21
2015-09-26,4
2015-09-27,15
2015-09-28,15
2015-09-29,23
2015-09-30,19
2015-10-01,19
2015-10-02,25
2015-10-03,16
2015-10-04,4
2015-10-05,16
2015-10-06,17
2015-10-07,9
2015-10-08,13
2015-10-09,14
2015-10-10,6
2015-10-11,5
2015-10-12,16
2015-10-13,13
2015-10-14,11
2015-10-15,15
2015-10-16,23
2015-10-17,14
2015-10-18,5
2015-10-19,16
2015-10-20,24
2015-10-21,11
2015-10-22,21
2015-10-23,26
2015-10-24,11
2015-10-25,11
2015-10-26,20
2015-10-27,100
2015-10-28,32
2015-10-29,42
2015-10-30,27
2015-10-31,12
2015-11-01,9
2015-11-02,28
2015-11-03,24
2015-11-04,24
2015-11-05,26
2015-11-06,16
2015-11-07,21
2015-11-08,12
2015-11-09,25
2015-11-10,46
2015-11-11,33
2015-11-12,23
2015-11-13,20
2015-11-14,13
2015-11-15,7
2015-11-16,38
2015-11-17,41
2015-11-18,35
2015-11-19,22
2015-11-20,33
2015-11-21,6
2015-11-22,10
2015-11-23,30
2015-11-24,24
2015-11-25,21
2015-11-26,19
2015-11-27,15
2015-11-28,18
2015-11-29,4
2015-11-30,24
2015-12-01,28
2015-12-02,14
2015-12-03,29
2015-12-04,28
2015-12-05,15
2015-12-06,15
2015-12-07,34
2015-12-08,33
2015-12-09,24
2015-12-10,18
2015-12-11,18
2015-12-12,16
2015-12-13,5
2015-12-14,18
2015-12-15,26
2015-12-16,33
2015-12-17,26
2015-12-18,21
2015-12-19,6
2015-12-20,8
2015-12-21,27
2015-12-22,18
2015-12-23,32
2015-12-24,17
2015-12-25,4
2015-12-26,13
2015-12-27,4
2015-12-28,14
2015-12-29,15
2015-12-30,14
2015-12-31,10
2016-01-01,14
2016-01-02,10
2016-01-03,8
2016-01-04,28
2016-01-05,24
2016-01-06,24
2016-01-07,37
2016-01-08,24
2016-01-09,11
2016-01-10,6
2016-01-11,14
2016-01-12,15
2016-01-13,16
2016-01-14,21
2016-01-15,28
2016-01-16,13
2016-01-17,10
2016-01-18,9
2016-01-19,23
2016-01-20,13
2016-01-21,21
2016-01-22,22
2016-01-23,9
2016-01-24,10
2016-01-25,22
2016-01-26,26
2016-01-27,24
2016-01-28,16
2016-01-29,17
2016-01-30,15
2016-01-31,6
2016-02-01,16
2016-02-02,19
2016-02-03,14
2016-02-04,10
2016-02-05,29
2016-02-06,13
2016-02-07,13
2016-02-08,23
2016-02-09,19
2016-02-10,18
2016-02-11,30
2016-02-12,18
2016-02-13,8
2016-02-14,10
2016-02-15,9
2016-02-16,21
2016-02-17,91
2016-02-18,35
2016-02-19,28
2016-02-20,11
2016-02-21,8
2016-02-22,20
2016-02-23,27
2016-02-24,27
2016-02-25,27
2016-02-26,29
2016-02-27,12
2016-02-28,7
2016-02-29,19
2016-03-01,27
2016-03-02,26
2016-03-03,22
2016-03-04,20
2016-03-05,12
2016-03-06,5
2016-03-07,17
2016-03-08,20
2016-03-09,22
2016-03-10,24
2016-03-11,15
2016-03-12,4
2016-03-13,3
2016-03-14,11
2016-03-15,18
2016-03-16,11
2016-03-17,16
2016-03-18,13
2016-03-19,6
2016-03-20,0
2016-03-21,20
2016-03-22,16
2016-03-23,17
2016-03-24,22
2016-03-25,13
2016-03-26,3
2016-03-27,3
2016-03-28,12
2016-03-29,23
2016-03-30,18
2016-03-31,19
2016-04-01,29
2016-04-02,11
2016-04-03,10
2016-04-04,20
2016-04-05,21
2016-04-06,15
2016-04-07,27
2016-04-08,16
2016-04-09,8
2016-04-10,7
2016-04-11,18
2016-04-12,24
2016-04-13,21
2016-04-14,16
2016-04-15,19
2016-04-16,8
2016-04-17,10
2016-04-18,17
2016-04-19,18
2016-04-20,22
2016-04-21,21
2016-04-22,15
2016-04-23,11
2016-04-24,5
2016-04-25,21
2016-04-26,86
2016-04-27,31
2016-04-28,29
2016-04-29,25
2016-04-30,15
2016-05-01,9
2016-05-02,17
2016-05-03,22
2016-05-04,12
