date,TMUS
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,2
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,6
2013-03-01,0
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,4
2013-03-06,2
2013-03-07,2
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,2
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,2
2013-03-16,2
2013-03-17,0
2013-03-18,2
2013-03-19,2
2013-03-20,0
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,2
2013-03-26,3
2013-03-27,0
2013-03-28,2
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,0
2013-04-02,2
2013-04-03,0
2013-04-04,2
2013-04-05,2
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,2
2013-04-10,2
2013-04-11,2
2013-04-12,0
2013-04-13,2
2013-04-14,0
2013-04-15,0
2013-04-16,0
2013-04-17,0
2013-04-18,2
2013-04-19,2
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,2
2013-04-25,2
2013-04-26,4
2013-04-27,0
2013-04-28,2
2013-04-29,3
2013-04-30,6
2013-05-01,100
2013-05-02,39
2013-05-03,24
2013-05-04,4
2013-05-05,3
2013-05-06,12
2013-05-07,9
2013-05-08,12
2013-05-09,9
2013-05-10,9
2013-05-11,6
2013-05-12,0
2013-05-13,4
2013-05-14,7
2013-05-15,7
2013-05-16,5
2013-05-17,8
2013-05-18,2
2013-05-19,3
2013-05-20,9
2013-05-21,8
2013-05-22,9
2013-05-23,8
2013-05-24,6
2013-05-25,4
2013-05-26,3
2013-05-27,5
2013-05-28,4
2013-05-29,9
2013-05-30,5
2013-05-31,8
2013-06-01,6
2013-06-02,4
2013-06-03,12
2013-06-04,3
2013-06-05,4
2013-06-06,6
2013-06-07,6
2013-06-08,3
2013-06-09,2
2013-06-10,14
2013-06-11,21
2013-06-12,11
2013-06-13,7
2013-06-14,9
2013-06-15,3
2013-06-16,3
2013-06-17,8
2013-06-18,9
2013-06-19,6
2013-06-20,11
2013-06-21,7
2013-06-22,3
2013-06-23,2
2013-06-24,4
2013-06-25,8
2013-06-26,7
2013-06-27,18
2013-06-28,10
2013-06-29,3
2013-06-30,9
2013-07-01,10
2013-07-02,14
2013-07-03,4
2013-07-04,3
2013-07-05,6
2013-07-06,4
2013-07-07,5
2013-07-08,8
2013-07-09,7
2013-07-10,23
2013-07-11,13
2013-07-12,17
2013-07-13,10
2013-07-14,5
2013-07-15,14
2013-07-16,16
2013-07-17,16
2013-07-18,14
2013-07-19,15
2013-07-20,3
2013-07-21,2
2013-07-22,11
2013-07-23,11
2013-07-24,6
2013-07-25,6
2013-07-26,12
2013-07-27,4
2013-07-28,3
2013-07-29,10
2013-07-30,8
2013-07-31,4
2013-08-01,5
2013-08-02,7
2013-08-03,4
2013-08-04,0
2013-08-05,3
2013-08-06,6
2013-08-07,5
2013-08-08,32
2013-08-09,13
2013-08-10,3
2013-08-11,7
2013-08-12,4
2013-08-13,7
2013-08-14,4
2013-08-15,14
2013-08-16,7
2013-08-17,0
2013-08-18,0
2013-08-19,9
2013-08-20,4
2013-08-21,8
2013-08-22,4
2013-08-23,5
2013-08-24,0
2013-08-25,0
2013-08-26,3
2013-08-27,7
2013-08-28,7
2013-08-29,5
2013-08-30,2
2013-08-31,6
2013-09-01,3
2013-09-02,3
2013-09-03,4
2013-09-04,5
2013-09-05,5
2013-09-06,4
2013-09-07,2
2013-09-08,2
2013-09-09,3
2013-09-10,7
2013-09-11,7
2013-09-12,3
2013-09-13,8
2013-09-14,3
2013-09-15,4
2013-09-16,7
2013-09-17,5
2013-09-18,6
2013-09-19,6
2013-09-20,4
2013-09-21,3
2013-09-22,0
2013-09-23,3
2013-09-24,8
2013-09-25,9
2013-09-26,8
2013-09-27,11
2013-09-28,4
2013-09-29,4
2013-09-30,3
2013-10-01,7
2013-10-02,8
2013-10-03,8
2013-10-04,5
2013-10-05,2
2013-10-06,2
2013-10-07,5
2013-10-08,7
2013-10-09,8
2013-10-10,14
2013-10-11,14
2013-10-12,3
2013-10-13,5
2013-10-14,6
2013-10-15,7
2013-10-16,11
2013-10-17,9
2013-10-18,9
2013-10-19,6
2013-10-20,7
2013-10-21,9
2013-10-22,8
2013-10-23,6
2013-10-24,12
2013-10-25,9
2013-10-26,8
2013-10-27,5
2013-10-28,6
2013-10-29,6
2013-10-30,5
2013-10-31,8
2013-11-01,10
2013-11-02,6
2013-11-03,8
2013-11-04,11
2013-11-05,45
2013-11-06,16
