date,AMGN,isPartial
2016-09-11,3,False
2016-09-12,6,False
2016-09-13,14,False
2016-09-14,17,False
2016-09-15,11,False
2016-09-16,9,False
2016-09-17,0,False
2016-09-18,6,False
2016-09-19,21,False
2016-09-20,19,False
2016-09-21,8,False
2016-09-22,22,False
2016-09-23,20,False
2016-09-24,6,False
2016-09-25,3,False
2016-09-26,11,False
2016-09-27,8,False
2016-09-28,5,False
2016-09-29,16,False
2016-09-30,20,False
2016-10-01,3,False
2016-10-02,3,False
2016-10-03,5,False
2016-10-04,5,False
2016-10-05,8,False
2016-10-06,13,False
2016-10-07,6,False
2016-10-08,3,False
2016-10-09,3,False
2016-10-10,16,False
2016-10-11,22,False
2016-10-12,3,False
2016-10-13,8,False
2016-10-14,17,False
2016-10-15,3,False
2016-10-16,3,False
2016-10-17,21,False
2016-10-18,21,False
2016-10-19,8,False
2016-10-20,13,False
2016-10-21,8,False
2016-10-22,3,False
2016-10-23,6,False
2016-10-24,19,False
2016-10-25,3,False
2016-10-26,13,False
2016-10-27,33,False
2016-10-28,91,False
2016-10-29,28,False
2016-10-30,9,False
2016-10-31,38,False
2016-11-01,19,False
2016-11-02,16,False
2016-11-03,27,False
2016-11-04,19,False
2016-11-05,9,False
2016-11-06,0,False
2016-11-07,18,False
2016-11-08,34,False
2016-11-09,78,False
2016-11-10,38,False
2016-11-11,25,False
2016-11-12,6,False
2016-11-13,0,False
2016-11-14,24,False
2016-11-15,16,False
2016-11-16,16,False
2016-11-17,42,False
2016-11-18,22,False
2016-11-19,6,False
2016-11-20,0,False
2016-11-21,21,False
2016-11-22,3,False
2016-11-23,3,False
2016-11-24,3,False
2016-11-25,16,False
2016-11-26,6,False
2016-11-27,11,False
2016-11-28,7,False
2016-11-29,20,False
2016-11-30,3,False
2016-12-01,8,False
2016-12-02,13,False
2016-12-03,6,False
2016-12-04,6,False
2016-12-05,14,False
2016-12-06,12,False
2016-12-07,13,False
2016-12-08,44,False
2016-12-09,11,False
2016-12-10,12,False
2016-12-11,6,False
2016-12-12,20,False
2016-12-13,38,False
2016-12-14,13,False
2016-12-15,23,False
2016-12-16,17,False
2016-12-17,3,False
2016-12-18,0,False
2016-12-19,26,False
2016-12-20,16,False
2016-12-21,14,False
2016-12-22,11,False
2016-12-23,3,False
2016-12-24,3,False
2016-12-25,3,False
2016-12-26,6,False
2016-12-27,19,False
2016-12-28,5,False
2016-12-29,5,False
2016-12-30,11,False
2016-12-31,0,False
2017-01-01,6,False
2017-01-02,3,False
2017-01-03,21,False
2017-01-04,31,False
2017-01-05,42,False
2017-01-06,64,False
2017-01-07,12,False
2017-01-08,11,False
2017-01-09,28,False
2017-01-10,23,False
2017-01-11,32,False
2017-01-12,41,False
2017-01-13,26,False
2017-01-14,3,False
2017-01-15,8,False
2017-01-16,10,False
2017-01-17,12,False
2017-01-18,17,False
2017-01-19,15,False
2017-01-20,13,False
2017-01-21,0,False
2017-01-22,3,False
2017-01-23,17,False
2017-01-24,7,False
