date,AMZN,isPartial
2016-09-11,4,False
2016-09-12,17,False
2016-09-13,18,False
2016-09-14,13,False
2016-09-15,17,False
2016-09-16,15,False
2016-09-17,6,False
2016-09-18,4,False
2016-09-19,14,False
2016-09-20,14,False
2016-09-21,17,False
2016-09-22,27,False
2016-09-23,24,False
2016-09-24,10,False
2016-09-25,5,False
2016-09-26,17,False
2016-09-27,24,False
2016-09-28,28,False
2016-09-29,28,False
2016-09-30,27,False
2016-10-01,10,False
2016-10-02,5,False
2016-10-03,20,False
2016-10-04,22,False
2016-10-05,24,False
2016-10-06,22,False
2016-10-07,19,False
2016-10-08,8,False
2016-10-09,5,False
2016-10-10,17,False
2016-10-11,19,False
2016-10-12,20,False
2016-10-13,21,False
2016-10-14,18,False
2016-10-15,7,False
2016-10-16,4,False
2016-10-17,22,False
2016-10-18,28,False
2016-10-19,21,False
2016-10-20,20,False
2016-10-21,20,False
2016-10-22,6,False
2016-10-23,4,False
2016-10-24,27,False
2016-10-25,29,False
2016-10-26,26,False
2016-10-27,85,False
2016-10-28,84,False
2016-10-29,14,False
2016-10-30,8,False
2016-10-31,30,False
2016-11-01,28,False
2016-11-02,27,False
2016-11-03,27,False
2016-11-04,23,False
2016-11-05,6,False
2016-11-06,6,False
2016-11-07,31,False
2016-11-08,28,False
2016-11-09,60,False
2016-11-10,47,False
2016-11-11,43,False
2016-11-12,10,False
2016-11-13,6,False
2016-11-14,34,False
2016-11-15,39,False
2016-11-16,30,False
2016-11-17,29,False
2016-11-18,30,False
2016-11-19,9,False
2016-11-20,7,False
2016-11-21,27,False
2016-11-22,31,False
2016-11-23,29,False
2016-11-24,11,False
2016-11-25,19,False
2016-11-26,9,False
2016-11-27,6,False
2016-11-28,24,False
2016-11-29,27,False
2016-11-30,28,False
2016-12-01,24,False
2016-12-02,25,False
2016-12-03,9,False
2016-12-04,5,False
2016-12-05,28,False
2016-12-06,29,False
2016-12-07,24,False
2016-12-08,23,False
2016-12-09,20,False
2016-12-10,6,False
2016-12-11,4,False
2016-12-12,18,False
2016-12-13,22,False
2016-12-14,23,False
2016-12-15,24,False
2016-12-16,20,False
2016-12-17,7,False
2016-12-18,4,False
2016-12-19,22,False
2016-12-20,21,False
2016-12-21,18,False
2016-12-22,18,False
2016-12-23,17,False
2016-12-24,6,False
2016-12-25,5,False
2016-12-26,8,False
2016-12-27,16,False
2016-12-28,22,False
2016-12-29,19,False
2016-12-30,17,False
2016-12-31,7,False
2017-01-01,3,False
2017-01-02,8,False
2017-01-03,17,False
2017-01-04,21,False
2017-01-05,27,False
2017-01-06,34,False
2017-01-07,12,False
2017-01-08,8,False
2017-01-09,27,False
2017-01-10,25,False
2017-01-11,21,False
2017-01-12,28,False
2017-01-13,32,False
2017-01-14,9,False
2017-01-15,4,False
2017-01-16,13,False
2017-01-17,27,False
2017-01-18,26,False
2017-01-19,25,False
2017-01-20,25,False
2017-01-21,8,False
2017-01-22,5,False
2017-01-23,23,False
2017-01-24,26,False
2017-01-25,33,False
2017-01-26,34,False
2017-01-27,33,False
2017-01-28,10,False
2017-01-29,6,False
2017-01-30,26,False
2017-01-31,29,False
2017-02-01,34,False
2017-02-02,89,False
2017-02-03,97,False
