date,LRCX
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,21
2012-10-16,0
2012-10-17,22
2012-10-18,100
2012-10-19,69
2012-10-20,27
2012-10-21,0
2012-10-22,32
2012-10-23,0
2012-10-24,44
2012-10-25,22
2012-10-26,23
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,22
2012-11-01,23
2012-11-02,23
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,32
2012-11-07,63
2012-11-08,22
2012-11-09,57
2012-11-10,26
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,43
2012-11-15,22
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,21
2012-11-22,0
2012-11-23,23
2012-11-24,0
2012-11-25,25
2012-11-26,41
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,25
2012-12-03,42
2012-12-04,0
2012-12-05,63
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,21
2012-12-11,21
2012-12-12,21
2012-12-13,32
2012-12-14,22
2012-12-15,25
2012-12-16,0
2012-12-17,0
2012-12-18,21
2012-12-19,43
2012-12-20,22
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,27
2012-12-25,0
2012-12-26,24
2012-12-27,23
2012-12-28,47
2012-12-29,26
2012-12-30,0
2012-12-31,26
2013-01-01,0
2013-01-02,22
2013-01-03,63
2013-01-04,22
2013-01-05,0
2013-01-06,24
2013-01-07,62
2013-01-08,20
2013-01-09,30
2013-01-10,62
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,20
2013-01-15,40
2013-01-16,20
2013-01-17,20
2013-01-18,62
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,20
2013-01-23,20
2013-01-24,91
2013-01-25,31
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,20
2013-01-30,30
2013-01-31,0
2013-02-01,21
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,20
2013-02-06,20
2013-02-07,20
2013-02-08,21
2013-02-09,0
2013-02-10,0
2013-02-11,20
2013-02-12,20
2013-02-13,20
2013-02-14,21
2013-02-15,31
2013-02-16,35
2013-02-17,0
2013-02-18,0
2013-02-19,29
2013-02-20,39
2013-02-21,40
2013-02-22,20
2013-02-23,0
2013-02-24,23
2013-02-25,0
2013-02-26,0
2013-02-27,20
2013-02-28,0
2013-03-01,41
2013-03-02,23
2013-03-03,0
2013-03-04,29
2013-03-05,20
2013-03-06,39
2013-03-07,20
2013-03-08,30
2013-03-09,0
2013-03-10,0
2013-03-11,19
2013-03-12,19
2013-03-13,19
2013-03-14,19
2013-03-15,81
2013-03-16,0
2013-03-17,0
2013-03-18,19
2013-03-19,58
2013-03-20,0
2013-03-21,39
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,19
2013-03-26,19
2013-03-27,20
2013-03-28,62
2013-03-29,22
2013-03-30,24
2013-03-31,0
2013-04-01,20
2013-04-02,19
2013-04-03,0
2013-04-04,0
2013-04-05,20
2013-04-06,23
2013-04-07,0
2013-04-08,0
2013-04-09,19
2013-04-10,0
2013-04-11,58
2013-04-12,20
2013-04-13,23
2013-04-14,0
2013-04-15,19
2013-04-16,19
2013-04-17,48
2013-04-18,0
2013-04-19,30
2013-04-20,47
2013-04-21,0
2013-04-22,48
2013-04-23,39
2013-04-24,49
2013-04-25,50
2013-04-26,61
2013-04-27,0
2013-04-28,23
2013-04-29,39
2013-04-30,19
2013-05-01,21
2013-05-02,30
2013-05-03,21
2013-05-04,24
2013-05-05,0
2013-05-06,78
2013-05-07,38
2013-05-08,69
2013-05-09,40
2013-05-10,51
2013-05-11,0
2013-05-12,23
2013-05-13,57
2013-05-14,19
2013-05-15,38
2013-05-16,59
2013-05-17,30
2013-05-18,23
2013-05-19,23
2013-05-20,38
2013-05-21,19
2013-05-22,38
2013-05-23,48
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,19
2013-05-29,19
2013-05-30,19
2013-05-31,41
2013-06-01,0
2013-06-02,0
2013-06-03,38
2013-06-04,38
2013-06-05,19
2013-06-06,19
2013-06-07,20
2013-06-08,0
2013-06-09,0
2013-06-10,19
2013-06-11,19
2013-06-12,56
2013-06-13,19
2013-06-14,40
2013-06-15,0
2013-06-16,24
2013-06-17,0
2013-06-18,39
2013-06-19,19
2013-06-20,19
2013-06-21,41
2013-06-22,23
2013-06-23,0
2013-06-24,19
2013-06-25,58
2013-06-26,19
2013-06-27,58
2013-06-28,40
2013-06-29,0
