date,LRCX,isPartial
2017-01-19,18,False
2017-01-20,23,False
2017-01-21,26,False
2017-01-22,15,False
2017-01-23,14,False
2017-01-24,18,False
2017-01-25,64,False
2017-01-26,43,False
2017-01-27,50,False
2017-01-28,5,False
2017-01-29,8,False
2017-01-30,31,False
2017-01-31,16,False
2017-02-01,15,False
2017-02-02,14,False
2017-02-03,7,False
2017-02-04,8,False
2017-02-05,5,False
2017-02-06,13,False
2017-02-07,25,False
2017-02-08,11,False
2017-02-09,11,False
2017-02-10,14,False
2017-02-11,10,False
2017-02-12,10,False
2017-02-13,11,False
2017-02-14,13,False
2017-02-15,18,False
2017-02-16,13,False
2017-02-17,11,False
2017-02-18,16,False
2017-02-19,5,False
2017-02-20,0,False
2017-02-21,18,False
2017-02-22,9,False
2017-02-23,11,False
2017-02-24,16,False
2017-02-25,10,False
2017-02-26,10,False
2017-02-27,18,False
2017-02-28,11,False
2017-03-01,15,False
2017-03-02,9,False
2017-03-03,9,False
2017-03-04,5,False
2017-03-05,0,False
2017-03-06,8,False
2017-03-07,19,False
2017-03-08,4,False
2017-03-09,9,False
2017-03-10,18,False
2017-03-11,8,False
2017-03-12,10,False
2017-03-13,19,False
2017-03-14,11,False
2017-03-15,16,False
2017-03-16,18,False
2017-03-17,16,False
2017-03-18,10,False
2017-03-19,5,False
2017-03-20,18,False
2017-03-21,9,False
2017-03-22,16,False
2017-03-23,11,False
2017-03-24,21,False
2017-03-25,10,False
2017-03-26,0,False
2017-03-27,16,False
2017-03-28,20,False
2017-03-29,15,False
2017-03-30,18,False
2017-03-31,12,False
2017-04-01,0,False
2017-04-02,0,False
2017-04-03,9,False
2017-04-04,4,False
2017-04-05,9,False
2017-04-06,18,False
2017-04-07,23,False
2017-04-08,5,False
2017-04-09,0,False
2017-04-10,9,False
2017-04-11,16,False
2017-04-12,14,False
2017-04-13,19,False
2017-04-14,8,False
2017-04-15,5,False
2017-04-16,11,False
2017-04-17,12,False
2017-04-18,20,False
2017-04-19,46,False
2017-04-20,20,False
2017-04-21,28,False
2017-04-22,15,False
2017-04-23,8,False
2017-04-24,29,False
2017-04-25,31,False
2017-04-26,33,False
2017-04-27,27,False
2017-04-28,28,False
2017-04-29,16,False
2017-04-30,13,False
2017-05-01,27,False
2017-05-02,33,False
2017-05-03,22,False
2017-05-04,11,False
2017-05-05,30,False
2017-05-06,11,False
2017-05-07,5,False
2017-05-08,24,False
2017-05-09,27,False
2017-05-10,29,False
2017-05-11,30,False
2017-05-12,24,False
2017-05-13,16,False
2017-05-14,8,False
2017-05-15,24,False
2017-05-16,17,False
2017-05-17,31,False
2017-05-18,33,False
2017-05-19,35,False
2017-05-20,11,False
2017-05-21,6,False
2017-05-22,22,False
2017-05-23,16,False
2017-05-24,22,False
2017-05-25,20,False
2017-05-26,16,False
2017-05-27,17,False
2017-05-28,6,False
